1540335451930,35.51,31.05,4.46,4.70
1540335452130,35.51,31.07,4.44,4.69
1540335452327,35.55,31.05,4.50,4.68
1540335452532,35.53,31.01,4.52,4.67
1540335452729,35.51,31.07,4.44,4.67
1540335452929,35.47,31.05,4.42,4.66
1540335453130,35.51,31.01,4.50,4.65
1540335453326,35.59,31.01,4.58,4.64
1540335453531,35.51,31.01,4.50,4.64
1540335453731,35.51,30.97,4.54,4.63
1540335453929,35.47,30.93,4.54,4.62
1540335454129,35.51,30.97,4.54,4.62
1540335454326,35.51,30.93,4.58,4.61
1540335454530,35.47,30.99,4.48,4.61
1540335454731,35.51,30.93,4.58,4.60
1540335454927,35.47,30.97,4.50,4.60
1540335455128,35.55,30.87,4.68,4.60
1540335455325,35.51,30.91,4.60,4.59
1540335455530,35.47,30.91,4.56,4.59
1540335455731,35.47,30.91,4.56,4.59
1540335455927,35.45,30.91,4.54,4.58
1540335456128,35.53,30.91,4.62,4.58
1540335456325,35.37,30.87,4.50,4.58
1540335456529,35.39,30.87,4.52,4.58
1540335456730,35.47,30.79,4.68,4.58
1540335456927,35.39,30.87,4.52,4.57
1540335457128,35.47,30.85,4.62,4.57
1540335457332,35.47,30.79,4.68,4.57
1540335457529,35.43,30.77,4.66,4.57
1540335457729,35.43,30.77,4.66,4.57
1540335457926,35.45,30.77,4.68,4.57
1540335458127,35.43,30.73,4.70,4.57
1540335458328,35.47,30.71,4.76,4.57
1540335458524,35.43,30.77,4.66,4.58
1540335458729,35.39,30.73,4.66,4.58
1540335458925,35.47,30.77,4.70,4.58
1540335459126,35.43,30.71,4.72,4.59
1540335459326,35.47,30.73,4.74,4.58
1540335459523,35.37,30.79,4.58,4.59
1540335459728,35.47,30.79,4.68,4.59
1540335459925,35.45,30.77,4.68,4.59
1540335460125,35.43,30.77,4.66,4.60
1540335460326,35.43,30.79,4.64,4.60
1540335460523,35.43,30.85,4.58,4.60
1540335460728,35.45,30.77,4.68,4.61
1540335460928,35.47,30.77,4.70,4.61
1540335461125,35.47,30.85,4.62,4.61
1540335461326,35.51,30.67,4.84,4.61
1540335461522,35.45,30.77,4.68,4.62
1540335461727,35.45,30.73,4.72,4.62
1540335461928,35.45,30.71,4.74,4.62
1540335462124,35.43,30.77,4.66,4.63
1540335462325,35.39,30.73,4.66,4.63
1540335462522,35.47,30.73,4.74,4.63
1540335462726,35.43,30.71,4.72,4.64
1540335462927,35.47,30.67,4.80,4.64
1540335463123,35.43,30.73,4.70,4.64
1540335463324,35.39,30.77,4.62,4.64
1540335463529,35.37,30.67,4.70,4.65
1540335463725,35.37,30.71,4.66,4.65
1540335463926,35.45,30.73,4.72,4.65
1540335464123,35.43,30.77,4.66,4.65
1540335464323,35.45,30.77,4.68,4.65
1540335464525,35.39,30.73,4.66,4.66
1540335464725,35.45,30.77,4.68,4.66
1540335464926,35.43,30.77,4.66,4.66
1540335465122,35.39,30.73,4.66,4.66
1540335465323,35.39,30.73,4.66,4.66
1540335465524,35.39,30.77,4.62,4.66
1540335465721,35.37,30.79,4.58,4.67
1540335465925,35.37,30.73,4.64,4.66
1540335466121,35.39,30.73,4.66,4.67
1540335466323,35.43,30.73,4.70,4.66
1540335466523,35.37,30.77,4.60,4.67
1540335466720,35.39,30.77,4.62,4.67
1540335466925,35.35,30.73,4.62,4.66
1540335467121,35.37,30.77,4.60,4.67
1540335467322,35.39,30.77,4.62,4.66
1540335467522,35.43,30.79,4.64,4.67
1540335467719,35.35,30.73,4.62,4.67
1540335467924,35.39,30.67,4.72,4.66
1540335468125,35.37,30.71,4.66,4.67
1540335468321,35.39,30.77,4.62,4.66
1540335468522,35.37,30.77,4.60,4.66
1540335468719,35.37,30.73,4.64,4.66
1540335468924,35.35,30.67,4.68,4.66
1540335469124,35.37,30.71,4.66,4.66
1540335469321,35.39,30.71,4.68,4.66
1540335469521,35.39,30.67,4.72,4.66
1540335469718,35.35,30.65,4.70,4.66
1540335469923,35.39,30.63,4.76,4.66
1540335470124,35.37,30.71,4.66,4.66
1540335470320,35.39,30.63,4.76,4.66
1540335470520,35.35,30.63,4.72,4.66
1540335470717,35.31,30.65,4.66,4.66
1540335470918,35.35,30.67,4.68,4.66
1540335471123,35.39,30.59,4.80,4.67
1540335471319,35.31,30.59,4.72,4.66
1540335471520,35.35,30.65,4.70,4.67
1540335471717,35.37,30.65,4.72,4.67
1540335471918,35.35,30.59,4.76,4.67
1540335472122,35.35,30.65,4.70,4.67
1540335472319,35.37,30.65,4.72,4.67
1540335472519,35.35,30.63,4.72,4.67
1540335472720,35.29,30.63,4.66,4.68
1540335472917,35.35,30.63,4.72,4.67
1540335473122,35.31,30.59,4.72,4.68
1540335473318,35.35,30.59,4.76,4.68
1540335473519,35.31,30.59,4.72,4.68
1540335473719,35.35,30.51,4.84,4.68
1540335473916,35.29,30.57,4.72,4.68
1540335474121,35.29,30.51,4.78,4.69
1540335474318,35.35,30.53,4.82,4.69
1540335474518,35.29,30.59,4.70,4.69
1540335474719,35.37,30.57,4.80,4.70
1540335474915,35.35,30.53,4.82,4.69
1540335475120,35.29,30.53,4.76,4.70
1540335475317,35.27,30.57,4.70,4.70
1540335475517,35.35,30.57,4.78,4.70
1540335475719,35.29,30.51,4.78,4.71
1540335475914,35.35,30.57,4.78,4.71
1540335476120,35.31,30.57,4.74,4.71
1540335476320,35.35,30.51,4.84,4.71
1540335476517,35.35,30.57,4.78,4.72
1540335476718,35.35,30.57,4.78,4.72
1540335476914,35.35,30.57,4.78,4.72
1540335477115,35.31,30.59,4.72,4.72
1540335477319,35.39,30.57,4.82,4.72
1540335477516,35.31,30.57,4.74,4.73
1540335477717,35.31,30.57,4.74,4.73
1540335477914,35.29,30.59,4.70,4.73
1540335478115,35.37,30.59,4.78,4.74
1540335478320,35.35,30.57,4.78,4.73
1540335478516,35.35,30.57,4.78,4.74
1540335478716,35.35,30.59,4.76,4.74
1540335478917,35.35,30.59,4.76,4.74
1540335479114,35.37,30.59,4.78,4.74
1540335479319,35.27,30.59,4.68,4.74
1540335479515,35.35,30.53,4.82,4.74
1540335479716,35.31,30.59,4.72,4.75
1540335479916,35.39,30.59,4.80,4.74
1540335480113,35.31,30.59,4.72,4.75
1540335480318,35.37,30.57,4.80,4.75
1540335480515,35.35,30.59,4.76,4.75
1540335480715,35.37,30.59,4.78,4.75
1540335480916,35.37,30.57,4.80,4.75
1540335481113,35.37,30.59,4.78,4.75
1540335481318,35.31,30.53,4.78,4.75
1540335481514,35.37,30.57,4.80,4.75
1540335481714,35.35,30.53,4.82,4.76
1540335481915,35.31,30.53,4.78,4.75
1540335482112,35.31,30.57,4.74,4.76
1540335482317,35.35,30.59,4.76,4.76
1540335482518,35.35,30.59,4.76,4.76
1540335482714,35.35,30.57,4.78,4.76
1540335482915,35.31,30.53,4.78,4.76
1540335483111,35.35,30.57,4.78,4.77
1540335483312,35.31,30.63,4.68,4.76
1540335483517,35.35,30.57,4.78,4.76
1540335483713,35.31,30.53,4.78,4.77
1540335483914,35.31,30.51,4.80,4.76
1540335484111,35.29,30.51,4.78,4.77
1540335484312,35.35,30.57,4.78,4.77
1540335484516,35.31,30.47,4.84,4.77
1540335484713,35.37,30.47,4.90,4.77
1540335484914,35.35,30.45,4.90,4.77
1540335485110,35.37,30.47,4.90,4.77
1540335485311,35.31,30.47,4.84,4.77
1540335485515,35.31,30.47,4.84,4.77
1540335485712,35.35,30.45,4.90,4.78
1540335485913,35.35,30.45,4.90,4.78
1540335486113,35.29,30.51,4.78,4.78
1540335486310,35.39,30.45,4.94,4.78
1540335486515,35.31,30.47,4.84,4.79
1540335486711,35.31,30.45,4.86,4.79
1540335486912,35.35,30.47,4.88,4.79
1540335487113,35.37,30.45,4.92,4.80
1540335487310,35.31,30.47,4.84,4.80
1540335487510,35.29,30.47,4.82,4.80
1540335487711,35.37,30.51,4.86,4.80
1540335487912,35.31,30.45,4.86,4.80
1540335488113,35.31,30.47,4.84,4.81
1540335488309,35.35,30.51,4.84,4.81
1540335488509,35.39,30.43,4.96,4.81
1540335488706,35.39,30.45,4.94,4.82
1540335488911,35.31,30.47,4.84,4.81
1540335489112,35.35,30.43,4.92,4.82
1540335489308,35.37,30.47,4.90,4.82
1540335489509,35.37,30.45,4.92,4.82
1540335489714,35.39,30.39,5.00,4.83
1540335489910,35.35,30.39,4.96,4.83
1540335490111,35.37,30.43,4.94,4.83
1540335490308,35.31,30.45,4.86,4.83
1540335490509,35.39,30.43,4.96,4.84
1540335490713,35.35,30.43,4.92,4.84
1540335490910,35.35,30.47,4.88,4.84
1540335491111,35.37,30.43,4.94,4.85
1540335491311,35.35,30.45,4.90,4.84
1540335491508,35.31,30.39,4.92,4.85
1540335491713,35.39,30.43,4.96,4.85
1540335491905,35.35,30.45,4.90,4.85
1540335492110,35.31,30.47,4.84,4.86
1540335492311,35.35,30.45,4.90,4.86
1540335492507,35.37,30.45,4.92,4.86
1540335492708,35.37,30.47,4.90,4.86
1540335492905,35.35,30.47,4.88,4.86
1540335493110,35.31,30.43,4.88,4.87
1540335493310,35.39,30.47,4.92,4.87
1540335493507,35.35,30.43,4.92,4.87
1540335493708,35.39,30.45,4.94,4.87
1540335493912,35.37,30.45,4.92,4.87
1540335494109,35.39,30.47,4.92,4.88
1540335494310,35.37,30.45,4.92,4.87
1540335494506,35.39,30.47,4.92,4.88
1540335494707,35.37,30.47,4.90,4.88
1540335494908,35.35,30.51,4.84,4.88
1540335495104,35.39,30.45,4.94,4.88
1540335495309,35.37,30.47,4.90,4.88
1540335495510,35.31,30.47,4.84,4.88
1540335495706,35.35,30.47,4.88,4.88
1540335495907,35.37,30.45,4.92,4.88
1540335496103,35.35,30.45,4.90,4.89
