1539763153618,34.75,36.15,-1.40,-2.07
1539763153814,34.71,36.21,-1.50,-2.05
1539763154015,34.75,36.17,-1.42,-2.02
1539763154212,34.67,36.13,-1.46,-2.00
1539763154413,34.59,36.07,-1.48,-1.98
1539763154617,34.63,36.07,-1.44,-1.95
1539763154814,34.61,35.91,-1.30,-1.93
1539763155014,34.59,35.85,-1.26,-1.91
1539763155211,34.59,35.67,-1.08,-1.89
1539763155416,34.75,35.55,-0.80,-1.87
1539763155613,34.71,35.51,-0.80,-1.84
1539763155813,34.81,35.43,-0.62,-1.82
1539763156010,34.77,35.31,-0.54,-1.79
1539763156215,34.83,35.29,-0.46,-1.76
1539763156416,34.77,35.27,-0.50,-1.73
1539763156612,34.85,35.27,-0.42,-1.70
1539763156816,34.91,35.29,-0.38,-1.67
1539763157014,34.97,35.27,-0.30,-1.63
1539763157214,34.93,35.27,-0.34,-1.60
1539763157411,34.99,35.31,-0.32,-1.56
1539763157615,35.05,35.27,-0.22,-1.52
1539763157812,35.07,35.31,-0.24,-1.49
1539763158012,35.01,35.29,-0.28,-1.45
1539763158210,34.99,35.39,-0.40,-1.41
1539763158414,34.97,35.39,-0.42,-1.37
1539763158611,34.91,35.53,-0.62,-1.33
1539763158811,34.89,35.63,-0.74,-1.30
1539763159008,34.85,35.63,-0.78,-1.26
1539763159213,34.91,35.63,-0.72,-1.23
1539763159414,34.85,35.63,-0.78,-1.20
1539763159610,34.85,35.71,-0.86,-1.17
1539763159814,34.81,35.59,-0.78,-1.15
1539763160011,34.81,35.47,-0.66,-1.12
1539763160212,34.81,35.47,-0.66,-1.10
1539763160409,34.77,35.45,-0.68,-1.08
1539763160616,34.77,35.39,-0.62,-1.06
1539763160811,34.67,35.37,-0.70,-1.04
1539763161011,34.59,35.35,-0.76,-1.02
1539763161208,34.67,35.31,-0.64,-1.00
1539763161413,34.77,35.37,-0.60,-0.99
1539763161613,34.71,35.39,-0.68,-0.97
1539763161809,34.63,35.37,-0.74,-0.95
1539763162014,34.63,35.39,-0.76,-0.94
1539763162211,34.61,35.45,-0.84,-0.93
1539763162412,34.61,35.47,-0.86,-0.91
1539763162609,34.59,35.47,-0.88,-0.90
1539763162809,34.61,35.47,-0.86,-0.89
1539763163014,34.69,35.37,-0.68,-0.89
1539763163210,34.77,35.37,-0.60,-0.88
1539763163412,34.81,35.31,-0.50,-0.87
1539763163608,34.85,35.35,-0.50,-0.86
1539763163812,34.85,35.31,-0.46,-0.85
1539763164009,34.83,35.27,-0.44,-0.84
1539763164210,34.75,35.27,-0.52,-0.83
1539763164407,34.71,35.27,-0.56,-0.82
1539763164611,34.59,35.27,-0.68,-0.81
