1540344573743,38.09,33.11,4.98,5.03
1540344573939,38.11,33.05,5.06,5.03
1540344574140,38.09,33.05,5.04,5.03
1540344574344,38.05,33.07,4.98,5.03
1540344574542,38.05,33.11,4.94,5.03
1540344574742,38.03,33.13,4.90,5.03
1540344574938,38.09,33.21,4.88,5.03
1540344575140,38.11,33.27,4.84,5.03
1540344575336,38.09,33.27,4.82,5.03
1540344575541,38.11,33.17,4.94,5.02
1540344575737,38.13,33.05,5.08,5.02
1540344575938,38.11,33.11,5.00,5.02
1540344576142,38.13,32.99,5.14,5.02
1540344576339,38.05,33.05,5.00,5.02
1540344576540,38.09,33.17,4.92,5.01
1540344576737,38.11,33.19,4.92,5.01
1540344576937,38.13,33.19,4.94,5.01
1540344577133,38.09,33.27,4.82,5.01
1540344577339,38.09,33.27,4.82,5.01
1540344577540,38.09,33.29,4.80,5.00
1540344577736,38.05,33.25,4.80,5.00
1540344577941,38.11,33.21,4.90,4.99
1540344578138,38.05,33.17,4.88,4.99
1540344578338,38.09,33.11,4.98,4.99
1540344578535,38.11,33.13,4.98,4.98
1540344578736,38.05,33.21,4.84,4.98
1540344578940,38.13,33.27,4.86,4.98
1540344579136,38.09,33.29,4.80,4.98
1540344579338,38.09,33.33,4.76,4.97
1540344579534,38.11,33.27,4.84,4.97
1540344579739,38.11,33.29,4.82,4.97
1540344579936,38.09,33.21,4.88,4.96
1540344580136,38.11,33.21,4.90,4.96
1540344580333,38.09,33.25,4.84,4.96
1540344580534,38.09,33.21,4.88,4.95
1540344580738,38.11,33.27,4.84,4.95
1540344580935,38.11,33.29,4.82,4.94
1540344581135,38.11,33.27,4.84,4.94
1540344581332,38.09,33.29,4.80,4.94
1540344581537,38.09,33.35,4.74,4.93
1540344581733,38.11,33.35,4.76,4.93
1540344581934,38.09,33.35,4.74,4.93
1540344582135,38.11,33.33,4.78,4.92
1540344582331,38.05,33.27,4.78,4.92
1540344582536,38.05,33.25,4.80,4.91
1540344582733,38.13,33.25,4.88,4.91
1540344582934,38.05,33.25,4.80,4.90
1540344583130,38.05,33.17,4.88,4.90
1540344583335,38.09,33.13,4.96,4.90
1540344583532,38.13,33.17,4.96,4.89
1540344583733,38.03,33.21,4.82,4.90
1540344583933,38.03,33.17,4.86,4.89
1540344584134,38.13,33.13,5.00,4.89
1540344584334,38.11,33.25,4.86,4.89
1540344584532,38.11,33.25,4.86,4.89
1540344584732,38.13,33.27,4.86,4.89
1540344584928,38.03,33.25,4.78,4.88
1540344585133,38.03,33.07,4.96,4.88
1540344585330,38.13,33.11,5.02,4.89
1540344585530,38.09,32.99,5.10,4.88
1540344585735,38.11,33.05,5.06,4.89
1540344585932,38.09,33.05,5.04,4.88
1540344586133,38.11,33.07,5.04,4.89
1540344586329,38.03,33.11,4.92,4.89
1540344586529,38.09,33.13,4.96,4.89
1540344586727,38.13,33.13,5.00,4.89
1540344586931,38.01,33.17,4.84,4.89
1540344587133,38.11,33.17,4.94,4.90
1540344587329,38.05,33.27,4.78,4.90
1540344587534,38.11,33.25,4.86,4.90
1540344587730,38.05,33.27,4.78,4.90
1540344587931,38.11,33.33,4.78,4.90
1540344588127,38.05,33.27,4.78,4.90
1540344588328,38.09,33.29,4.80,4.90
1540344588533,38.09,33.33,4.76,4.89
1540344588729,38.13,33.27,4.86,4.90
1540344588930,38.05,33.25,4.80,4.89
1540344589127,38.13,33.27,4.86,4.89
1540344589331,38.01,33.29,4.72,4.89
1540344589528,38.03,33.33,4.70,4.88
1540344589729,38.13,33.35,4.78,4.88
1540344589924,38.11,33.33,4.78,4.88
1540344590126,38.13,33.25,4.88,4.88
1540344590331,38.03,33.27,4.76,4.88
1540344590527,38.13,33.21,4.92,4.87
1540344590728,38.13,33.17,4.96,4.87
1540344590924,38.05,33.07,4.98,4.87
1540344591129,38.13,33.19,4.94,4.87
