1540343881447,37.99,33.95,4.04,4.07
1540343881647,38.01,33.99,4.02,4.07
1540343881844,37.99,33.95,4.04,4.06
1540343882049,38.01,33.95,4.06,4.06
1540343882249,37.99,34.01,3.98,4.06
1540343882446,37.99,33.99,4.00,4.05
1540343882647,37.99,33.99,4.00,4.06
1540343882843,37.95,34.03,3.92,4.05
1540343883048,37.95,34.01,3.94,4.05
1540343883249,37.99,34.03,3.96,4.05
1540343883446,38.01,33.99,4.02,4.04
1540343883646,37.99,33.93,4.06,4.04
1540343883842,38.01,33.87,4.14,4.04
1540343884048,37.99,33.87,4.12,4.04
1540343884244,38.01,33.77,4.24,4.04
1540343884445,38.01,33.77,4.24,4.04
1540343884650,37.99,33.85,4.14,4.04
1540343884846,38.01,33.85,4.16,4.04
1540343885047,37.95,33.85,4.10,4.04
1540343885243,38.01,33.83,4.18,4.04
1540343885444,38.01,33.99,4.02,4.04
1540343885649,37.95,33.95,4.00,4.05
1540343885845,38.01,33.93,4.08,4.05
1540343886046,37.95,34.01,3.94,4.05
1540343886243,37.95,33.95,4.00,4.05
1540343886448,37.95,33.99,3.96,4.05
1540343886644,38.01,34.01,4.00,4.05
1540343886845,37.99,34.03,3.96,4.05
1540343887046,37.99,34.01,3.98,4.05
1540343887242,37.95,34.03,3.92,4.05
1540343887447,37.95,34.01,3.94,4.04
1540343887643,37.95,34.03,3.92,4.05
1540343887844,37.95,33.93,4.02,4.04
1540343888044,37.95,33.95,4.00,4.04
1540343888245,37.93,33.99,3.94,4.04
1540343888446,37.93,33.99,3.94,4.04
1540343888643,37.99,34.01,3.98,4.04
1540343888844,37.99,34.07,3.92,4.03
1540343889045,37.95,34.03,3.92,4.03
1540343889244,37.95,34.07,3.88,4.03
1540343889446,37.93,34.07,3.86,4.02
1540343889642,37.95,34.07,3.88,4.03
1540343889843,37.93,34.09,3.84,4.02
1540343890040,37.99,34.07,3.92,4.02
1540343890244,38.01,34.07,3.94,4.01
1540343890445,37.95,34.09,3.86,4.01
1540343890642,37.91,34.13,3.78,4.01
1540343890842,37.93,34.07,3.86,4.00
1540343891043,37.99,34.09,3.90,4.00
1540343891244,37.95,34.03,3.92,3.99
1540343891444,37.93,34.03,3.90,3.99
1540343891641,37.99,34.07,3.92,3.99
1540343891846,37.95,34.07,3.88,3.98
1540343892043,37.93,34.07,3.86,3.98
1540343892243,37.95,34.03,3.92,3.97
1540343892444,37.93,34.03,3.90,3.97
1540343892640,37.93,34.07,3.86,3.97
1540343892846,37.95,33.95,4.00,3.96
1540343893042,38.01,33.85,4.16,3.96
1540343893243,37.91,33.77,4.14,3.96
1540343893443,37.93,33.73,4.20,3.95
1540343893639,37.95,33.73,4.22,3.96
1540343893845,37.91,33.85,4.06,3.96
1540343894041,37.95,33.91,4.04,3.96
1540343894242,37.95,33.85,4.10,3.96
1540343894439,37.95,33.87,4.08,3.96
1540343894639,37.99,33.87,4.12,3.97
1540343894844,37.95,33.83,4.12,3.97
1540343895040,37.93,33.83,4.10,3.97
1540343895242,37.91,33.77,4.14,3.98
1540343895438,37.93,33.85,4.08,3.98
1540343895643,37.95,33.87,4.08,3.98
1540343895844,37.93,33.87,4.06,3.98
1540343896040,37.99,33.85,4.14,3.99
1540343896241,38.01,33.93,4.08,3.99
1540343896437,37.95,34.01,3.94,3.99
1540343896642,37.95,33.93,4.02,4.00
1540343896843,37.99,33.99,4.00,4.00
1540343897039,37.95,33.83,4.12,4.00
1540343897239,37.93,33.87,4.06,4.00
1540343897437,37.95,33.91,4.04,4.00
1540343897641,37.93,33.85,4.08,4.01
1540343897838,37.99,33.85,4.14,4.01
1540343898039,37.95,33.79,4.16,4.01
1540343898244,38.03,33.65,4.38,4.01
1540343898440,37.99,33.57,4.42,4.02
1540343898641,37.93,33.47,4.46,4.02
1540343898838,37.95,33.43,4.52,4.03
1540343899038,37.95,33.47,4.48,4.04
1540343899234,38.01,33.33,4.68,4.04
1540343899440,38.01,33.49,4.52,4.05
1540343899640,37.91,33.55,4.36,4.06
1540343899836,38.01,33.57,4.44,4.07
1540343900042,37.99,33.55,4.44,4.08
1540343900239,37.93,33.61,4.32,4.09
1540343900439,37.99,33.57,4.42,4.10
1540343900635,37.99,33.55,4.44,4.12
1540343900836,38.03,33.51,4.52,4.12
1540343901041,37.99,33.51,4.48,4.14
1540343901238,37.95,33.57,4.38,4.15
1540343901439,37.99,33.57,4.42,4.16
1540343901635,37.95,33.61,4.34,4.17
1540343901840,38.01,33.65,4.36,4.18
1540343902041,37.95,33.71,4.24,4.19
1540343902237,37.99,33.69,4.30,4.20
1540343902438,37.99,33.61,4.38,4.20
1540343902639,37.99,33.65,4.34,4.21
1540343902839,38.01,33.69,4.32,4.22
1540343903035,37.99,33.63,4.36,4.23
1540343903236,38.01,33.63,4.38,4.23
1540343903441,38.03,33.63,4.40,4.24
1540343903638,37.99,33.47,4.52,4.25
1540343903838,38.03,33.41,4.62,4.25
1540343904035,38.03,33.33,4.70,4.26
1540343904235,38.01,33.39,4.62,4.27
1540343904442,38.01,33.43,4.58,4.27
1540343904637,38.05,33.49,4.56,4.29
1540343904838,38.05,33.49,4.56,4.29
1540343905035,38.03,33.41,4.62,4.30
1540343905239,38.05,33.47,4.58,4.31
1540343905436,38.09,33.55,4.54,4.32
1540343905637,38.03,33.57,4.46,4.33
1540343905838,38.05,33.65,4.40,4.33
1540343906034,38.03,33.63,4.40,4.34
1540343906239,38.03,33.69,4.34,4.35
1540343906435,38.03,33.77,4.26,4.35
1540343906636,37.99,33.79,4.20,4.36
1540343906837,38.03,33.83,4.20,4.36
1540343907033,38.03,33.91,4.12,4.37
1540343907238,38.01,33.85,4.16,4.37
1540343907434,38.11,33.79,4.32,4.37
1540343907635,38.01,33.85,4.16,4.37
1540343907836,38.01,33.95,4.06,4.37
1540343908033,38.09,33.87,4.22,4.37
1540343908238,38.03,33.87,4.16,4.36
1540343908434,38.03,33.83,4.20,4.36
1540343908634,38.01,33.83,4.18,4.36
1540343908831,38.05,33.83,4.22,4.35
1540343909037,38.03,33.79,4.24,4.35
1540343909237,38.01,33.71,4.30,4.35
1540343909433,38.09,33.63,4.46,4.34
1540343909634,38.03,33.63,4.40,4.34
1540343909830,38.05,33.71,4.34,4.34
1540343910035,38.03,33.69,4.34,4.34
1540343910232,38.03,33.69,4.34,4.34
1540343910433,38.01,33.71,4.30,4.33
1540343910638,38.05,33.77,4.28,4.34
1540343910834,38.03,33.73,4.30,4.33
1540343911035,38.03,33.79,4.24,4.33
1540343911231,37.99,33.73,4.26,4.33
1540343911432,38.05,33.69,4.36,4.33
1540343911637,38.03,33.69,4.34,4.33
1540343911834,38.03,33.65,4.38,4.33
1540343912034,38.03,33.63,4.40,4.33
1540343912230,38.01,33.65,4.36,4.33
1540343912436,38.03,33.69,4.34,4.33
1540343912632,38.01,33.69,4.32,4.33
1540343912833,38.01,33.71,4.30,4.32
1540343913034,37.99,33.79,4.20,4.33
1540343913230,38.01,33.85,4.16,4.33
1540343913435,38.01,33.91,4.10,4.32
1540343913632,37.99,33.99,4.00,4.33
1540343913833,37.95,33.95,4.00,4.32
1540343914029,37.95,34.01,3.94,4.32
1540343914234,38.03,33.95,4.08,4.31
1540343914435,38.01,33.95,4.06,4.31
1540343914631,38.01,33.95,4.06,4.31
1540343914832,38.01,34.01,4.00,4.30
1540343915028,38.03,33.87,4.16,4.29
1540343915233,38.01,33.87,4.14,4.29
1540343915430,38.01,33.85,4.16,4.28
1540343915631,38.09,33.71,4.38,4.27
1540343915835,38.01,33.65,4.36,4.27
1540343916031,38.01,33.65,4.36,4.26
1540343916232,37.99,33.63,4.36,4.26
1540343916429,38.01,33.63,4.38,4.26
1540343916633,38.03,33.61,4.42,4.26
1540343916831,37.99,33.71,4.28,4.25
1540343917031,38.05,33.73,4.32,4.26
1540343917229,38.01,33.79,4.22,4.25
1540343917433,38.01,33.85,4.16,4.25
1540343917633,38.01,33.83,4.18,4.26
1540343917830,38.05,33.91,4.14,4.25
1540343918031,38.09,33.85,4.24,4.25
1540343918227,38.05,33.91,4.14,4.25
1540343918432,38.03,33.91,4.12,4.25
1540343918629,38.03,33.85,4.18,4.25
1540343918829,38.03,33.87,4.16,4.24
1540343919034,38.09,33.85,4.24,4.24
1540343919231,38.03,33.85,4.18,4.24
1540343919431,38.01,33.73,4.28,4.24
1540343919628,38.01,33.63,4.38,4.24
1540343919833,38.03,33.63,4.40,4.23
1540343920030,38.03,33.69,4.34,4.24
1540343920230,38.03,33.73,4.30,4.24
1540343920427,38.05,33.77,4.28,4.23
1540343920627,38.03,33.87,4.16,4.24
1540343920832,38.03,33.69,4.34,4.24
1540343921029,38.03,33.55,4.48,4.24
1540343921230,38.05,33.51,4.54,4.24
1540343921426,37.99,33.47,4.52,4.24
1540343921631,38.03,33.55,4.48,4.25
1540343921827,38.01,33.65,4.36,4.25
1540343922028,38.09,33.71,4.38,4.25
1540343922229,38.09,33.73,4.36,4.26
1540343922426,38.05,33.73,4.32,4.26
1540343922630,38.03,33.83,4.20,4.26
1540343922826,38.05,33.79,4.26,4.26
1540343923028,38.03,33.85,4.18,4.27
1540343923224,38.03,33.77,4.26,4.27
1540343923429,38.09,33.83,4.26,4.27
1540343923629,38.01,33.79,4.22,4.28
1540343923826,38.05,33.83,4.22,4.27
1540343924027,38.05,33.83,4.22,4.28
1540343924228,38.05,33.79,4.26,4.28
1540343924428,38.05,33.73,4.32,4.28
1540343924629,38.03,33.77,4.26,4.28
1540343924826,38.05,33.83,4.22,4.28
1540343925031,38.03,33.77,4.26,4.28
1540343925226,38.05,33.73,4.32,4.28
1540343925428,38.05,33.71,4.34,4.28
1540343925624,38.03,33.61,4.42,4.28
1540343925829,38.01,33.61,4.40,4.28
1540343926030,38.01,33.61,4.40,4.28
1540343926226,38.09,33.57,4.52,4.28
1540343926427,38.09,33.55,4.54,4.28
1540343926624,38.13,33.57,4.56,4.29
1540343926829,38.17,33.57,4.60,4.29
1540343927025,38.21,33.61,4.60,4.30
1540343927226,38.19,33.55,4.64,4.30
1540343927427,38.27,33.55,4.72,4.31
1540343927623,38.17,33.51,4.66,4.32
1540343927828,38.19,33.51,4.68,4.32
1540343928025,38.21,33.57,4.64,4.34
1540343928225,38.19,33.61,4.58,4.34
1540343928430,38.19,33.63,4.56,4.35
1540343928627,38.25,33.71,4.54,4.36
1540343928827,38.17,33.71,4.46,4.37
1540343929024,38.19,33.73,4.46,4.38
1540343929224,38.17,33.73,4.44,4.38
1540343929429,38.19,33.61,4.58,4.39
1540343929626,38.17,33.49,4.68,4.40
1540343929827,38.17,33.29,4.88,4.40
1540343930023,38.19,33.25,4.94,4.41
1540343930223,38.13,33.25,4.88,4.42
1540343930421,38.19,33.27,4.92,4.42
1540343930625,38.19,33.33,4.86,4.44
1540343930826,38.25,33.35,4.90,4.44
1540343931023,38.19,33.27,4.92,4.46
1540343931228,38.17,33.25,4.92,4.47
1540343931424,38.17,33.17,5.00,4.48
1540343931625,38.17,33.21,4.96,4.50
1540343931826,38.21,33.27,4.94,4.51
1540343932022,38.19,33.49,4.70,4.52
1540343932227,38.17,33.57,4.60,4.53
1540343932423,38.17,33.69,4.48,4.54
1540343932624,38.17,33.77,4.40,4.56
1540343932820,38.17,33.65,4.52,4.56
1540343933022,38.13,33.55,4.58,4.57
1540343933226,38.13,33.55,4.58,4.58
1540343933423,38.19,33.57,4.62,4.58
1540343933623,38.17,33.69,4.48,4.59
1540343933820,38.13,33.77,4.36,4.59
1540343934025,38.13,33.71,4.42,4.59
1540343934226,38.09,33.69,4.40,4.59
1540343934422,38.19,33.63,4.56,4.59
1540343934623,38.17,33.55,4.62,4.59
1540343934819,38.13,33.47,4.66,4.59
1540343935024,38.13,33.41,4.72,4.59
1540343935221,38.17,33.39,4.78,4.59
1540343935422,38.13,33.39,4.74,4.59
1540343935626,38.17,33.39,4.78,4.60
1540343935819,38.13,33.35,4.78,4.60
1540343936024,38.17,33.39,4.78,4.60
1540343936220,38.13,33.29,4.84,4.61
1540343936420,38.13,33.35,4.78,4.61
1540343936625,38.09,33.47,4.62,4.62
1540343936822,38.17,33.55,4.62,4.62
1540343937023,38.09,33.63,4.46,4.62
1540343937220,38.17,33.65,4.52,4.62
1540343937421,38.17,33.73,4.44,4.63
1540343937625,38.17,33.77,4.40,4.63
1540343937821,38.13,33.73,4.40,4.63
1540343938022,38.17,33.77,4.40,4.63
1540343938218,38.13,33.79,4.34,4.63
1540343938424,38.05,33.91,4.14,4.62
1540343938620,38.11,33.87,4.24,4.62
1540343938820,38.17,33.87,4.30,4.61
1540343939022,38.13,33.87,4.26,4.61
1540343939218,38.09,33.93,4.16,4.60
1540343939423,38.13,33.83,4.30,4.59
1540343939620,38.13,33.85,4.28,4.59
1540343939821,38.13,33.63,4.50,4.58
1540343940021,38.13,33.71,4.42,4.57
1540343940217,38.13,33.73,4.40,4.56
1540343940423,38.09,33.77,4.32,4.56
1540343940619,38.05,33.79,4.26,4.55
1540343940820,38.09,33.71,4.38,4.54
1540343941021,38.13,33.61,4.52,4.54
1540343941221,38.09,33.73,4.36,4.53
1540343941422,38.11,33.77,4.34,4.52
1540343941619,38.09,33.77,4.32,4.52
1540343941819,38.13,33.69,4.44,4.51
1540343942016,38.13,33.57,4.56,4.51
1540343942221,38.05,33.63,4.42,4.50
1540343942421,38.17,33.61,4.56,4.50
1540343942617,38.17,33.43,4.74,4.49
1540343942818,38.13,33.43,4.70,4.49
1540343943015,38.13,33.43,4.70,4.49
1540343943220,38.13,33.47,4.66,4.49
1540343943421,38.17,33.49,4.68,4.49
1540343943617,38.13,33.43,4.70,4.49
