1540106038472,35.53,38.03,-2.50,-2.55
1540106038673,35.59,38.03,-2.44,-2.54
1540106038869,35.55,38.03,-2.48,-2.54
1540106039071,35.59,38.03,-2.44,-2.54
1540106039267,35.55,38.05,-2.50,-2.54
1540106039472,35.59,38.03,-2.44,-2.54
1540106039672,35.51,38.05,-2.54,-2.53
1540106039869,35.53,38.01,-2.48,-2.53
1540106040070,35.53,38.09,-2.56,-2.53
1540106040275,35.59,38.05,-2.46,-2.53
1540106040471,35.53,38.05,-2.52,-2.53
1540106040672,35.55,38.09,-2.54,-2.52
1540106040869,35.55,38.03,-2.48,-2.52
1540106041069,35.53,38.03,-2.50,-2.52
1540106041270,35.51,38.03,-2.52,-2.52
1540106041470,35.53,38.03,-2.50,-2.52
1540106041671,35.53,38.03,-2.50,-2.52
1540106041872,35.55,38.05,-2.50,-2.52
1540106042068,35.53,38.05,-2.52,-2.51
1540106042269,35.53,38.03,-2.50,-2.51
1540106042465,35.51,38.03,-2.52,-2.51
1540106042671,35.53,38.01,-2.48,-2.51
1540106042871,35.53,38.03,-2.50,-2.51
1540106043067,35.55,38.03,-2.48,-2.51
1540106043269,35.51,38.03,-2.52,-2.51
1540106043465,35.55,38.03,-2.48,-2.51
1540106043665,35.51,38.03,-2.52,-2.51
1540106043871,35.51,38.01,-2.50,-2.51
1540106044067,35.55,38.03,-2.48,-2.51
1540106044267,35.55,38.01,-2.46,-2.51
1540106044469,35.61,37.99,-2.38,-2.51
1540106044666,35.59,37.99,-2.40,-2.50
1540106044870,35.53,38.03,-2.50,-2.51
1540106045071,35.53,38.01,-2.48,-2.50
1540106045267,35.55,38.03,-2.48,-2.50
1540106045468,35.55,38.01,-2.46,-2.50
1540106045665,35.51,38.03,-2.52,-2.50
1540106045865,35.55,38.03,-2.48,-2.50
1540106046070,35.55,37.95,-2.40,-2.50
1540106046266,35.55,38.03,-2.48,-2.50
1540106046467,35.55,37.95,-2.40,-2.50
1540106046668,35.53,38.03,-2.50,-2.49
1540106046866,35.55,38.03,-2.48,-2.49
