1540166765120,34.45,33.69,0.76,0.80
1540166765321,34.45,33.65,0.80,0.80
1540166765526,34.51,33.71,0.80,0.80
1540166765723,34.53,33.69,0.84,0.80
1540166765923,34.51,33.71,0.80,0.80
1540166766120,34.51,33.65,0.86,0.80
1540166766325,34.51,33.69,0.82,0.80
1540166766522,34.51,33.71,0.80,0.80
1540166766722,34.53,33.65,0.88,0.80
1540166766923,34.55,33.65,0.90,0.80
1540166767119,34.51,33.65,0.86,0.80
1540166767324,34.53,33.65,0.88,0.80
1540166767520,34.51,33.63,0.88,0.80
1540166767721,34.51,33.65,0.86,0.80
1540166767922,34.51,33.69,0.82,0.81
1540166768118,34.53,33.65,0.88,0.81
1540166768323,34.51,33.63,0.88,0.81
1540166768520,34.51,33.61,0.90,0.81
1540166768720,34.51,33.63,0.88,0.81
1540166768925,34.51,33.57,0.94,0.81
1540166769122,34.53,33.63,0.90,0.82
1540166769323,34.53,33.57,0.96,0.82
1540166769520,34.51,33.61,0.90,0.82
1540166769720,34.45,33.55,0.90,0.82
1540166769917,34.51,33.65,0.86,0.83
1540166770122,34.51,33.61,0.90,0.83
1540166770322,34.51,33.65,0.86,0.83
1540166770519,34.51,33.63,0.88,0.83
1540166770720,34.51,33.65,0.86,0.83
1540166770916,34.53,33.55,0.98,0.84
1540166771121,34.53,33.55,0.98,0.84
1540166771322,34.51,33.61,0.90,0.84
1540166771518,34.51,33.65,0.86,0.84
1540166771723,34.47,33.65,0.82,0.85
1540166771920,34.47,33.63,0.84,0.85
1540166772120,34.45,33.61,0.84,0.85
1540166772316,34.45,33.63,0.82,0.85
1540166772518,34.47,33.61,0.86,0.85
1540166772722,34.43,33.63,0.80,0.85
1540166772920,34.45,33.65,0.80,0.86
1540166773120,34.51,33.61,0.90,0.86
1540166773316,34.51,33.63,0.88,0.86
1540166773519,34.51,33.57,0.94,0.86
1540166773721,34.47,33.61,0.86,0.86
1540166773918,34.53,33.61,0.92,0.86
1540166774119,34.53,33.55,0.98,0.86
1540166774315,34.51,33.61,0.90,0.86
1540166774520,34.53,33.57,0.96,0.86
1540166774721,34.51,33.61,0.90,0.86
1540166774918,34.53,33.63,0.90,0.86
1540166775118,34.51,33.63,0.88,0.86
1540166775315,34.47,33.65,0.82,0.87
1540166775520,34.51,33.63,0.88,0.87
1540166775720,34.51,33.63,0.88,0.87
1540166775917,34.53,33.63,0.90,0.87
1540166776117,34.51,33.61,0.90,0.87
1540166776314,34.47,33.61,0.86,0.87
1540166776519,34.47,33.61,0.86,0.87
1540166776716,34.55,33.61,0.94,0.87
1540166776917,34.53,33.63,0.90,0.87
1540166777117,34.51,33.61,0.90,0.87
1540166777314,34.51,33.61,0.90,0.87
1540166777518,34.51,33.63,0.88,0.88
1540166777715,34.47,33.55,0.92,0.88
1540166777915,34.51,33.55,0.96,0.88
1540166778121,34.53,33.55,0.98,0.88
1540166778317,34.51,33.51,1.00,0.88
1540166778518,34.51,33.51,1.00,0.88
1540166778715,34.51,33.55,0.96,0.88
1540166778915,34.45,33.55,0.90,0.89
1540166779112,34.53,33.51,1.02,0.89
1540166779317,34.53,33.55,0.98,0.89
1540166779517,34.43,33.57,0.86,0.90
1540166779714,34.47,33.57,0.90,0.90
1540166779914,34.45,33.57,0.88,0.90
1540166780111,34.45,33.57,0.88,0.90
1540166780316,34.45,33.57,0.88,0.90
1540166780517,34.53,33.57,0.96,0.91
1540166780714,34.45,33.55,0.90,0.91
1540166780918,34.51,33.51,1.00,0.91
1540166781115,34.53,33.47,1.06,0.91
1540166781316,34.53,33.43,1.10,0.91
1540166781516,34.51,33.47,1.04,0.92
1540166781713,34.55,33.43,1.12,0.92
1540166781918,34.51,33.49,1.02,0.92
1540166782114,34.47,33.49,0.98,0.92
1540166782315,34.51,33.47,1.04,0.93
1540166782511,34.47,33.49,0.98,0.93
1540166782712,34.51,33.47,1.04,0.93
1540166782916,34.51,33.47,1.04,0.94
1540166783113,34.39,33.47,0.92,0.94
1540166783314,34.45,33.49,0.96,0.94
1540166783510,34.47,33.51,0.96,0.95
1540166783716,34.43,33.43,1.00,0.95
1540166783917,34.45,33.49,0.96,0.95
1540166784112,34.45,33.41,1.04,0.95
1540166784314,34.47,33.47,1.00,0.95
1540166784510,34.53,33.43,1.10,0.96
1540166784715,34.51,33.47,1.04,0.96
1540166784912,34.47,33.41,1.06,0.96
1540166785112,34.53,33.43,1.10,0.96
