1539674305472,35.23,37.71,-2.48,-2.46
1539674305673,35.07,37.69,-2.62,-2.46
1539674305874,35.05,37.63,-2.58,-2.46
1539674306069,35.07,37.71,-2.64,-2.46
1539674306271,35.05,37.69,-2.64,-2.47
1539674306475,35.07,37.75,-2.68,-2.47
1539674306672,35.09,37.67,-2.58,-2.47
1539674306872,35.21,37.77,-2.56,-2.48
1539674307073,35.13,37.75,-2.62,-2.48
1539674307270,35.19,37.71,-2.52,-2.48
1539674307470,35.13,37.71,-2.58,-2.49
1539674307676,35.13,37.69,-2.56,-2.49
1539674307873,35.09,37.83,-2.74,-2.50
1539674308073,35.21,37.77,-2.56,-2.50
1539674308269,35.23,37.71,-2.48,-2.50
1539674308470,35.27,37.79,-2.52,-2.50
1539674308671,35.29,37.77,-2.48,-2.50
1539674308867,35.31,37.77,-2.46,-2.51
1539674309072,35.35,37.75,-2.40,-2.51
1539674309273,35.37,37.77,-2.40,-2.51
1539674309470,35.27,37.69,-2.42,-2.51
1539674309670,35.23,37.77,-2.54,-2.51
1539674309875,35.29,37.77,-2.48,-2.51
1539674310068,35.29,37.77,-2.48,-2.51
1539674310272,35.29,37.79,-2.50,-2.51
1539674310469,35.21,37.79,-2.58,-2.51
1539674310670,35.19,37.77,-2.58,-2.51
1539674310870,35.23,37.79,-2.56,-2.51
1539674311067,35.21,37.79,-2.58,-2.51
1539674311272,35.15,37.69,-2.54,-2.51
1539674311473,35.13,37.83,-2.70,-2.51
1539674311669,35.19,37.79,-2.60,-2.51
1539674311869,35.27,37.71,-2.44,-2.51
1539674312070,35.19,37.79,-2.60,-2.51
1539674312266,35.13,37.85,-2.72,-2.52
1539674312472,35.19,37.79,-2.60,-2.52
1539674312673,35.27,37.83,-2.56,-2.52
1539674312869,35.27,37.79,-2.52,-2.52
1539674313070,35.23,37.79,-2.56,-2.52
1539674313266,35.23,37.79,-2.56,-2.53
1539674313467,35.19,37.75,-2.56,-2.53
1539674313672,35.23,37.77,-2.54,-2.53
1539674313868,35.23,37.83,-2.60,-2.53
1539674314069,35.29,37.79,-2.50,-2.53
1539674314270,35.15,37.85,-2.70,-2.54
1539674314466,35.19,37.83,-2.64,-2.54
1539674314667,35.19,37.79,-2.60,-2.54
1539674314864,35.13,37.83,-2.70,-2.54
1539674315068,34.99,37.85,-2.86,-2.54
1539674315269,35.01,37.83,-2.82,-2.55
1539674315466,35.07,37.79,-2.72,-2.55
1539674315666,35.09,37.83,-2.74,-2.56
1539674315872,35.07,37.83,-2.76,-2.56
1539674316068,35.01,37.79,-2.78,-2.57
1539674316269,35.01,37.83,-2.82,-2.57
1539674316465,35.07,37.83,-2.76,-2.58
1539674316666,35.21,37.85,-2.64,-2.58
1539674316867,35.09,37.79,-2.70,-2.59
1539674317063,35.19,37.79,-2.60,-2.59
1539674317269,35.21,37.83,-2.62,-2.60
1539674317469,35.27,37.85,-2.58,-2.60
1539674317665,35.29,37.79,-2.50,-2.61
1539674317866,35.27,37.83,-2.56,-2.61
1539674318063,35.27,37.87,-2.60,-2.61
1539674318268,35.27,37.85,-2.58,-2.61
1539674318468,35.27,37.85,-2.58,-2.62
1539674318664,35.29,37.83,-2.54,-2.62
1539674318866,35.27,37.85,-2.58,-2.62
1539674319070,35.27,37.85,-2.58,-2.62
1539674319267,35.23,37.85,-2.62,-2.62
1539674319467,35.27,37.87,-2.60,-2.62
1539674319664,35.27,37.87,-2.60,-2.62
1539674319864,35.27,37.85,-2.58,-2.62
1539674320066,35.21,37.83,-2.62,-2.62
1539674320262,35.15,37.87,-2.72,-2.62
1539674320466,35.09,37.85,-2.76,-2.62
1539674320664,35.01,37.87,-2.86,-2.62
1539674320864,35.01,37.87,-2.86,-2.62
1539674321065,35.01,37.85,-2.84,-2.62
1539674321262,35.07,37.87,-2.80,-2.62
1539674321466,35.09,37.87,-2.78,-2.63
1539674321667,35.07,37.91,-2.84,-2.63
1539674321863,35.09,37.93,-2.84,-2.63
1539674322064,35.15,37.87,-2.72,-2.64
1539674322265,35.27,37.93,-2.66,-2.64
1539674322464,35.21,37.87,-2.66,-2.65
1539674322666,35.19,37.87,-2.68,-2.65
1539674322863,35.07,37.87,-2.80,-2.65
1539674323064,35.07,37.91,-2.84,-2.65
1539674323264,35.07,37.85,-2.78,-2.66
1539674323461,35.13,37.87,-2.74,-2.66
1539674323666,35.23,37.85,-2.62,-2.66
1539674323866,35.27,37.87,-2.60,-2.67
1539674324063,35.29,37.83,-2.54,-2.67
1539674324264,35.23,37.93,-2.70,-2.67
1539674324460,35.29,37.87,-2.58,-2.68
1539674324661,35.19,37.93,-2.74,-2.67
1539674324866,35.23,37.91,-2.68,-2.68
1539674325062,35.27,37.95,-2.68,-2.68
1539674325263,35.29,37.91,-2.62,-2.68
1539674325464,35.27,37.87,-2.60,-2.68
1539674325660,35.21,37.93,-2.72,-2.68
1539674325865,35.23,37.91,-2.68,-2.68
1539674326062,35.29,37.91,-2.62,-2.68
1539674326263,35.29,37.87,-2.58,-2.68
1539674326463,35.23,37.91,-2.68,-2.68
1539674326660,35.09,37.87,-2.78,-2.68
1539674326861,35.01,37.85,-2.84,-2.68
1539674327065,35.07,37.85,-2.78,-2.68
1539674327261,35.09,37.87,-2.78,-2.68
1539674327463,35.09,37.85,-2.76,-2.68
1539674327659,35.13,37.87,-2.74,-2.68
1539674327860,35.09,37.95,-2.86,-2.69
1539674328065,35.13,37.87,-2.74,-2.69
1539674328257,35.07,37.91,-2.84,-2.69
1539674328461,35.09,37.93,-2.84,-2.69
1539674328663,35.09,37.87,-2.78,-2.69
1539674328859,35.13,37.95,-2.82,-2.70
1539674329060,35.07,37.91,-2.84,-2.70
1539674329256,34.99,37.91,-2.92,-2.70
1539674329461,35.05,37.87,-2.82,-2.71
1539674329662,35.07,37.85,-2.78,-2.71
1539674329859,35.21,37.87,-2.66,-2.72
1539674330059,35.23,37.87,-2.64,-2.72
1539674330260,35.09,37.91,-2.82,-2.72
1539674330461,35.21,37.93,-2.72,-2.72
1539674330661,35.21,37.87,-2.66,-2.72
1539674330858,35.23,37.93,-2.70,-2.73
1539674331059,35.15,37.91,-2.76,-2.73
1539674331259,35.09,37.93,-2.84,-2.73
1539674331456,35.13,37.87,-2.74,-2.73
1539674331661,35.09,37.87,-2.78,-2.73
1539674331861,35.23,37.87,-2.64,-2.74
1539674332058,35.13,37.87,-2.74,-2.73
1539674332259,35.13,37.93,-2.80,-2.74
1539674332455,35.19,37.93,-2.74,-2.74
1539674332656,35.15,37.91,-2.76,-2.74
1539674332861,35.09,37.87,-2.78,-2.74
1539674333057,35.07,37.91,-2.84,-2.74
1539674333258,35.15,37.85,-2.70,-2.74
1539674333459,35.07,37.85,-2.78,-2.74
1539674333655,35.05,37.87,-2.82,-2.74
1539674333860,35.09,37.93,-2.84,-2.75
1539674334061,35.19,37.91,-2.72,-2.75
1539674334257,35.21,37.93,-2.72,-2.75
1539674334458,35.23,37.91,-2.68,-2.75
1539674334655,35.13,37.93,-2.80,-2.75
1539674334855,35.19,37.91,-2.72,-2.75
1539674335061,35.23,37.93,-2.70,-2.75
1539674335257,35.19,37.91,-2.72,-2.75
1539674335458,35.15,37.91,-2.76,-2.75
1539674335658,35.05,37.93,-2.88,-2.75
1539674335854,34.97,37.93,-2.96,-2.75
1539674336060,35.01,37.91,-2.90,-2.75
1539674336256,35.05,37.93,-2.88,-2.75
1539674336457,35.13,37.95,-2.82,-2.76
1539674336658,35.23,37.95,-2.72,-2.76
1539674336854,35.27,37.91,-2.64,-2.76
1539674337055,35.23,37.87,-2.64,-2.76
1539674337260,35.13,37.87,-2.74,-2.76
1539674337456,35.13,37.85,-2.72,-2.76
1539674337656,35.13,37.99,-2.86,-2.76
1539674337853,35.27,37.93,-2.66,-2.76
1539674338054,35.19,37.95,-2.76,-2.76
1539674338259,35.23,37.91,-2.68,-2.76
1539674338455,35.13,37.91,-2.78,-2.76
1539674338656,35.09,37.87,-2.78,-2.76
1539674338857,35.07,37.93,-2.86,-2.76
1539674339054,35.07,37.87,-2.80,-2.76
1539674339254,35.05,37.87,-2.82,-2.76
1539674339451,35.01,37.85,-2.84,-2.76
1539674339656,35.05,37.83,-2.78,-2.76
1539674339857,34.97,37.85,-2.88,-2.76
1539674340053,34.97,37.77,-2.80,-2.76
1539674340254,35.09,37.83,-2.74,-2.76
1539674340459,35.01,37.83,-2.82,-2.77
1539674340651,35.01,37.83,-2.82,-2.76
1539674340856,34.97,37.79,-2.82,-2.77
1539674341056,35.05,37.85,-2.80,-2.76
1539674341253,35.01,37.85,-2.84,-2.77
1539674341454,34.97,37.79,-2.82,-2.77
1539674341650,35.01,37.83,-2.82,-2.77
1539674341855,34.97,37.79,-2.82,-2.77
1539674342056,34.89,37.87,-2.98,-2.77
1539674342252,34.85,37.83,-2.98,-2.77
1539674342453,34.91,37.85,-2.94,-2.77
1539674342654,34.97,37.91,-2.94,-2.77
1539674342850,34.93,37.87,-2.94,-2.78
1539674343055,34.99,37.91,-2.92,-2.78
1539674343252,34.99,37.87,-2.88,-2.79
1539674343452,34.97,37.87,-2.90,-2.79
1539674343653,35.01,37.85,-2.84,-2.79
1539674343850,35.07,37.87,-2.80,-2.80
1539674344054,35.13,37.91,-2.78,-2.80
1539674344255,35.07,37.91,-2.84,-2.80
1539674344452,35.07,37.91,-2.84,-2.81
1539674344653,35.05,37.93,-2.88,-2.81
1539674344849,35.07,37.91,-2.84,-2.81
1539674345049,35.07,37.87,-2.80,-2.81
1539674345255,35.05,37.87,-2.82,-2.82
1539674345451,35.05,37.85,-2.80,-2.82
1539674345652,35.07,37.87,-2.80,-2.82
1539674345852,35.21,37.83,-2.62,-2.82
1539674346049,35.23,37.87,-2.64,-2.82
1539674346250,35.23,37.85,-2.62,-2.82
1539674346451,35.23,37.87,-2.64,-2.82
1539674346651,35.29,37.85,-2.56,-2.82
1539674346852,35.31,37.83,-2.52,-2.82
1539674347048,35.35,37.87,-2.52,-2.81
1539674347249,35.31,37.85,-2.54,-2.81
1539674347445,35.27,37.85,-2.58,-2.80
1539674347650,35.19,37.79,-2.60,-2.80
1539674347851,35.19,37.83,-2.64,-2.79
1539674348047,35.19,37.87,-2.68,-2.79
1539674348249,35.09,37.79,-2.70,-2.78
1539674348454,35.07,37.83,-2.76,-2.78
1539674348650,35.13,37.83,-2.70,-2.77
1539674348851,35.07,37.79,-2.72,-2.77
1539674349047,35.07,37.79,-2.72,-2.76
1539674349248,35.19,37.79,-2.60,-2.76
1539674349453,35.29,37.75,-2.46,-2.76
1539674349649,35.39,37.71,-2.32,-2.75
1539674349850,35.31,37.71,-2.40,-2.75
1539674350051,35.35,37.71,-2.36,-2.74
1539674350247,35.31,37.71,-2.40,-2.73
1539674350452,35.23,37.83,-2.60,-2.73
1539674350645,35.23,37.71,-2.48,-2.72
1539674350849,35.27,37.71,-2.44,-2.71
1539674351050,35.21,37.71,-2.50,-2.70
1539674351247,35.13,37.69,-2.56,-2.70
1539674351447,35.23,37.69,-2.46,-2.69
1539674351644,35.13,37.71,-2.58,-2.68
1539674351849,35.13,37.77,-2.64,-2.68
1539674352050,35.19,37.77,-2.58,-2.67
1539674352246,35.09,37.83,-2.74,-2.66
1539674352446,35.13,37.75,-2.62,-2.66
1539674352644,35.05,37.75,-2.70,-2.65
1539674352847,35.09,37.77,-2.68,-2.65
1539674353048,35.21,37.77,-2.56,-2.65
1539674353245,35.19,37.75,-2.56,-2.64
1539674353446,35.13,37.77,-2.64,-2.64
1539674353651,35.07,37.69,-2.62,-2.64
1539674353847,35.01,37.75,-2.74,-2.64
1539674354048,34.97,37.71,-2.74,-2.63
1539674354245,34.89,37.83,-2.94,-2.63
1539674354446,34.83,37.75,-2.92,-2.63
1539674354646,34.85,37.71,-2.86,-2.63
1539674354843,34.85,37.75,-2.90,-2.64
1539674355047,34.97,37.77,-2.80,-2.64
1539674355248,34.99,37.69,-2.70,-2.64
