1539762654599,315,-1.32,0.04
1539762712220,34.89,35.51,-0.62,-0.55
1539762712416,34.97,35.55,-0.58,-0.55
1539762712617,34.91,35.55,-0.64,-0.55
1539762712818,34.93,35.63,-0.70,-0.55
1539762713018,34.83,35.59,-0.76,-0.55
1539762713219,34.83,35.63,-0.80,-0.55
1539762713415,34.83,35.63,-0.80,-0.55
1539762713621,34.83,35.75,-0.92,-0.55
1539762713817,34.91,35.77,-0.86,-0.55
1539762714018,35.05,35.75,-0.70,-0.56
1539762714218,35.07,35.71,-0.64,-0.56
1539762714415,35.13,35.75,-0.62,-0.56
1539762714620,35.09,35.71,-0.62,-0.57
1539762714816,35.07,35.61,-0.54,-0.57
1539762715017,35.05,35.67,-0.62,-0.57
1539762715214,35.05,35.71,-0.66,-0.58
1539762715418,35.07,36.05,-0.98,-0.58
1539762715619,35.15,36.07,-0.92,-0.58
1539762715816,35.13,36.15,-1.02,-0.59
1539762716016,35.13,36.13,-1.00,-0.60
1539762716213,35.09,36.17,-1.08,-0.60
1539762716418,35.09,36.07,-0.98,-0.61
1539762716619,35.19,36.05,-0.86,-0.62
1539762716815,35.13,35.99,-0.86,-0.63
1539762717016,35.01,35.89,-0.88,-0.64
1539762717213,34.89,35.89,-1.00,-0.65
1539762717417,34.83,36.01,-1.18,-0.65
1539762717618,34.85,36.21,-1.36,-0.66
1539762717815,34.75,36.53,-1.78,-0.67
1539762718015,34.69,36.73,-2.04,-0.69
1539762718211,34.69,36.89,-2.20,-0.71
1539762718417,34.69,36.95,-2.26,-0.73
1539762718613,34.75,37.09,-2.34,-0.75
1539762718813,34.77,37.19,-2.42,-0.78
1539762719030,34.75,37.25,-2.50,-0.81
1539762719217,34.77,37.35,-2.58,-0.85
1539762719416,34.81,37.35,-2.54,-0.89
1539762719612,34.77,37.35,-2.58,-0.93
1539762719813,34.75,37.35,-2.60,-0.97
1539762720033,34.69,37.33,-2.64,-1.01
1539762720215,34.81,37.35,-2.54,-1.06
1539762720415,34.85,37.33,-2.48,-1.10
1539762720612,34.83,37.27,-2.44,-1.15
1539762720813,34.81,37.19,-2.38,-1.19
1539762721017,34.71,37.19,-2.48,-1.24
1539762721214,34.77,37.19,-2.42,-1.28
1539762721415,34.85,37.19,-2.34,-1.33
1539762721611,34.93,37.11,-2.18,-1.37
1539762721812,35.01,37.03,-2.02,-1.41
1539762722017,35.07,37.03,-1.96,-1.45
1539762722214,35.05,37.03,-1.98,-1.49
1539762722414,35.13,36.97,-1.84,-1.52
1539762722611,35.05,36.93,-1.88,-1.55
1539762722811,35.01,36.89,-1.88,-1.58
1539762723016,35.05,36.85,-1.80,-1.61
1539762723213,35.07,36.79,-1.72,-1.63
1539762723413,35.07,36.79,-1.72,-1.65
1539762723610,34.97,36.79,-1.82,-1.67
1539762723811,34.93,36.77,-1.84,-1.69
1539762724016,34.93,36.77,-1.84,-1.70
1539762724212,34.85,36.71,-1.86,-1.72
1539762724413,34.85,36.79,-1.94,-1.73
1539762724610,34.91,36.71,-1.80,-1.74
1539762724810,34.93,36.65,-1.72,-1.75
1539762725015,35.01,36.69,-1.68,-1.76
1539762725212,35.07,36.57,-1.50,-1.77
1539762725412,35.13,36.47,-1.34,-1.78
1539762725609,35.07,36.41,-1.34,-1.78
1539762725814,35.09,36.39,-1.30,-1.78
1539762726015,35.01,36.39,-1.38,-1.78
1539762726211,35.01,36.31,-1.30,-1.78
1539762726412,35.05,36.29,-1.24,-1.78
1539762726608,35.07,36.29,-1.22,-1.77
1539762726813,35.19,36.25,-1.06,-1.76
1539762727010,35.19,36.29,-1.10,-1.76
1539762727210,35.09,36.25,-1.16,-1.75
1539762727415,35.07,36.15,-1.08,-1.73
1539762727612,35.07,36.17,-1.10,-1.72
1539762727813,35.15,36.15,-1.00,-1.71
1539762728009,35.19,36.07,-0.88,-1.69
1539762728210,35.19,36.09,-0.90,-1.68
1539762728415,35.09,36.13,-1.04,-1.66
1539762728610,34.91,36.09,-1.18,-1.64
1539762728811,34.91,36.17,-1.26,-1.62
1539762729008,34.85,36.13,-1.28,-1.60
1539762729213,34.89,36.25,-1.36,-1.59
1539762729409,34.89,36.29,-1.40,-1.57
1539762729611,34.85,36.29,-1.44,-1.56
1539762729807,34.85,36.33,-1.48,-1.54
1539762730008,34.85,36.25,-1.40,-1.53
1539762730212,34.93,36.25,-1.32,-1.52
1539762730410,34.93,36.17,-1.24,-1.51
1539762730610,35.01,36.15,-1.14,-1.50
1539762730806,35.01,36.13,-1.12,-1.49
1539762731011,34.97,36.07,-1.10,-1.48
1539762731208,34.91,36.13,-1.22,-1.47
1539762731409,34.91,36.17,-1.26,-1.46
1539762731614,34.91,36.15,-1.24,-1.45
1539762731810,35.01,36.17,-1.16,-1.44
1539762732011,34.99,36.15,-1.16,-1.43
1539762732207,34.91,36.07,-1.16,-1.42
1539762732408,34.93,36.13,-1.20,-1.41
1539762732604,34.97,36.07,-1.10,-1.41
1539762732809,34.97,36.05,-1.08,-1.40
1539762733010,35.05,36.05,-1.00,-1.39
1539762733206,35.09,36.01,-0.92,-1.38
1539762733412,35.09,35.99,-0.90,-1.37
1539762733608,35.13,35.99,-0.86,-1.36
1539762733809,35.15,35.97,-0.82,-1.34
1539762734005,35.07,36.01,-0.94,-1.33
1539762734210,34.97,35.99,-1.02,-1.32
1539762734407,34.99,35.97,-0.98,-1.31
1539762734607,34.99,35.97,-0.98,-1.30
1539762734808,34.97,35.97,-1.00,-1.28
1539762735004,34.93,36.01,-1.08,-1.27
1539762735210,34.99,35.91,-0.92,-1.26
1539762735406,34.93,35.85,-0.92,-1.25
1539762735607,34.97,35.89,-0.92,-1.24
1539762735803,34.93,35.85,-0.92,-1.23
1539762736008,34.91,35.83,-0.92,-1.22
1539762736209,34.93,35.81,-0.88,-1.21
1539762736406,34.97,35.81,-0.84,-1.20
