1540346884545,38.41,27.85,10.56,10.44
1540346884742,38.35,27.91,10.44,10.43
1540346884943,38.35,27.91,10.44,10.44
1540346885144,38.29,27.79,10.50,10.44
1540346885350,38.29,27.91,10.38,10.43
1540346885541,38.29,27.81,10.48,10.44
1540346885743,38.35,27.85,10.50,10.43
1540346885938,38.33,27.81,10.52,10.44
1540346886143,38.41,27.85,10.56,10.44
1540346886341,38.37,27.85,10.52,10.44
1540346886540,38.37,27.87,10.50,10.45
1540346886746,38.37,27.79,10.58,10.44
1540346886942,38.33,27.87,10.46,10.45
1540346887142,38.33,27.85,10.48,10.45
1540346887339,38.35,27.79,10.56,10.45
1540346887544,38.29,27.81,10.48,10.46
1540346887740,38.29,27.81,10.48,10.45
1540346887941,38.37,27.81,10.56,10.46
1540346888138,38.33,27.79,10.54,10.47
1540346888342,38.33,27.75,10.58,10.46
1540346888539,38.35,27.79,10.56,10.47
1540346888740,38.37,27.75,10.62,10.47
1540346888936,38.41,27.79,10.62,10.48
1540346889141,38.43,27.85,10.58,10.48
1540346889338,38.41,27.81,10.60,10.48
1540346889538,38.43,27.85,10.58,10.49
1540346889743,38.35,27.85,10.50,10.48
1540346889940,38.37,27.85,10.52,10.49
1540346890141,38.37,27.87,10.50,10.50
1540346890337,38.35,27.93,10.42,10.49
1540346890542,38.41,27.87,10.54,10.50
1540346890739,38.37,27.87,10.50,10.50
1540346890939,38.35,27.99,10.36,10.50
1540346891136,38.37,28.01,10.36,10.50
1540346891341,38.37,28.01,10.36,10.50
1540346891538,38.37,28.05,10.32,10.51
1540346891737,38.37,28.01,10.36,10.50
1540346891935,38.37,28.05,10.32,10.50
1540346892139,38.29,28.05,10.24,10.50
1540346892335,38.37,27.93,10.44,10.49
1540346892536,38.41,27.85,10.56,10.50
1540346892733,38.41,27.73,10.68,10.49
1540346892938,38.41,27.67,10.74,10.49
1540346893134,38.43,27.69,10.74,10.49
1540346893335,38.35,27.59,10.76,10.49
1540346893532,38.37,27.55,10.82,10.50
1540346893736,38.35,27.55,10.80,10.49
1540346893938,38.37,27.53,10.84,10.50
1540346894136,38.37,27.49,10.88,10.50
1540346894340,38.37,27.59,10.78,10.50
1540346894535,38.35,27.69,10.66,10.52
1540346894769,38.41,27.73,10.68,10.52
1540346894933,38.43,27.73,10.70,10.53
1540346895137,38.35,27.75,10.60,10.53
1540346895335,38.41,27.75,10.66,10.53
1540346895535,38.37,27.79,10.58,10.55
1540346895732,38.33,27.85,10.48,10.54
1540346895937,38.41,27.95,10.46,10.55
1540346896133,38.35,28.01,10.34,10.56
1540346896333,38.37,28.13,10.24,10.55
1540346896538,38.37,28.19,10.18,10.56
1540346896735,38.35,28.19,10.16,10.55
1540346896936,38.35,28.11,10.24,10.56
1540346897132,38.41,28.05,10.36,10.55
1540346897337,38.29,28.11,10.18,10.54
1540346897533,38.35,28.13,10.22,10.55
1540346897735,38.37,28.13,10.24,10.53
1540346897931,38.35,28.05,10.30,10.53
1540346898135,38.37,28.05,10.32,10.52
1540346898332,38.35,28.11,10.24,10.51
1540346898533,38.43,27.95,10.48,10.51
1540346898730,38.35,28.01,10.34,10.50
1540346898935,38.37,28.05,10.32,10.50
