1540344100709,38.13,32.45,5.68,5.29
1540344100905,38.13,32.49,5.64,5.31
1540344101106,38.13,32.53,5.60,5.33
1540344101302,38.13,32.53,5.60,5.34
1540344101506,38.13,32.63,5.50,5.36
1540344101704,38.09,32.67,5.42,5.37
1540344101904,38.17,32.47,5.70,5.38
1540344102109,38.13,32.47,5.66,5.40
1540344102305,38.13,32.41,5.72,5.40
1540344102506,38.11,32.39,5.72,5.42
1540344102703,38.13,32.39,5.74,5.43
1540344102904,38.11,32.31,5.80,5.44
1540344103100,38.11,32.39,5.72,5.45
1540344103305,38.13,32.33,5.80,5.46
1540344103506,38.11,32.25,5.86,5.47
1540344103702,38.17,32.27,5.90,5.48
1540344103907,38.11,32.25,5.86,5.49
1540344104104,38.17,32.39,5.78,5.51
1540344104305,38.13,32.49,5.64,5.51
1540344104501,38.17,32.39,5.78,5.53
1540344104702,38.17,32.31,5.86,5.53
1540344104906,38.19,32.31,5.88,5.55
1540344105103,38.13,32.21,5.92,5.56
1540344105303,38.13,32.19,5.94,5.56
1540344105500,38.19,32.21,5.98,5.58
1540344105701,38.19,32.31,5.88,5.59
1540344105902,38.13,32.33,5.80,5.60
1540344106103,38.13,32.35,5.78,5.61
1540344106304,38.13,32.33,5.80,5.62
1540344106500,38.17,32.33,5.84,5.63
1540344106704,38.13,32.31,5.82,5.64
1540344106901,38.21,32.33,5.88,5.65
1540344107102,38.17,32.41,5.76,5.66
1540344107298,38.13,32.45,5.68,5.66
1540344107499,38.19,32.49,5.70,5.67
1540344107704,38.17,32.55,5.62,5.67
1540344107900,38.11,32.63,5.48,5.68
1540344108101,38.17,32.61,5.56,5.69
1540344108298,38.13,32.55,5.58,5.69
1540344108503,38.13,32.47,5.66,5.69
1540344108699,38.11,32.45,5.66,5.69
1540344108900,38.17,32.45,5.72,5.69
1540344109100,38.17,32.59,5.58,5.70
1540344109297,38.11,32.71,5.40,5.69
1540344109502,38.11,32.89,5.22,5.70
1540344109698,38.13,32.91,5.22,5.69
1540344109899,38.05,32.91,5.14,5.69
1540344110096,38.11,32.77,5.34,5.68
1540344110301,38.11,32.67,5.44,5.67
1540344110501,38.11,32.45,5.66,5.67
1540344110698,38.05,32.45,5.60,5.66
1540344110898,38.11,32.41,5.70,5.66
1540344111095,38.17,32.47,5.70,5.65
1540344111300,38.13,32.55,5.58,5.64
1540344111497,38.11,32.63,5.48,5.64
1540344111697,38.13,32.55,5.58,5.64
1540344111898,38.13,32.59,5.54,5.63
1540344112098,38.13,32.47,5.66,5.63
1540344112299,38.17,32.47,5.70,5.63
1540344112496,38.13,32.31,5.82,5.63
1540344112697,38.09,32.31,5.78,5.62
1540344112893,38.11,32.27,5.84,5.62
1540344113099,38.13,32.31,5.82,5.62
1540344113295,38.17,32.21,5.96,5.62
1540344113495,38.13,32.27,5.86,5.63
1540344113696,38.19,32.31,5.88,5.63
1540344113897,38.13,32.35,5.78,5.63
1540344114098,38.13,32.33,5.80,5.64
1540344114294,38.13,32.41,5.72,5.64
1540344114495,38.13,32.35,5.78,5.65
1540344114699,38.13,32.33,5.80,5.65
1540344114896,38.13,32.33,5.80,5.65
1540344115097,38.13,32.39,5.74,5.66
1540344115294,38.09,32.35,5.74,5.66
