1539850950293,36.53,27.23,9.30,9.34
1539850950481,36.53,27.25,9.28,9.33
1539850950684,36.55,27.25,9.30,9.34
1539850950887,36.49,27.31,9.18,9.33
1539850951090,36.55,27.35,9.20,9.33
1539850951293,36.53,27.25,9.28,9.34
1539850951481,36.49,27.23,9.26,9.33
1539850951684,36.53,27.25,9.28,9.33
1539850951887,36.47,27.23,9.24,9.33
1539850952090,36.49,27.17,9.32,9.32
1539850952278,36.53,27.17,9.36,9.33
1539850952481,36.49,27.21,9.28,9.32
1539850952684,36.49,27.17,9.32,9.32
1539850952887,36.57,27.23,9.34,9.32
1539850953090,36.53,27.23,9.30,9.32
1539850953278,36.55,27.17,9.38,9.32
1539850953481,36.57,27.25,9.32,9.31
1539850953684,36.47,27.17,9.30,9.32
1539850953887,36.53,27.23,9.30,9.32
1539850953918,Interruption
1539850954090,36.55,27.23,9.32,9.31
1539850954293,36.57,27.21,9.36,9.32
1539850954481,36.53,27.23,9.30,9.31
1539850954684,36.55,27.23,9.32,9.32
1539850954809,Reaction,0,0,0,891
1539850954887,36.57,27.31,9.26,9.32
1539850955090,36.55,27.23,9.32,9.31
1539850955278,36.61,27.25,9.36,9.32
1539850955481,36.63,27.31,9.32,9.31
1539850955684,36.61,27.35,9.26,9.32
1539850955887,36.63,27.37,9.26,9.31
1539850956075,36.57,27.35,9.22,9.31
1539850956278,36.63,27.37,9.26,9.32
1539850956481,36.61,27.25,9.36,9.31
1539850956684,36.57,27.21,9.36,9.31
1539850956887,36.55,27.17,9.38,9.31
1539850957075,36.61,27.25,9.36,9.31
1539850957278,36.57,27.25,9.32,9.31
1539850957481,36.57,27.17,9.40,9.30
1539850957684,36.57,27.23,9.34,9.31
1539850957887,36.63,27.31,9.32,9.31
1539850958075,36.55,27.29,9.26,9.31
1539850958278,36.61,27.35,9.26,9.31
1539850958481,36.61,27.31,9.30,9.30
1539850958684,36.57,27.31,9.26,9.31
1539850958872,36.61,27.25,9.36,9.31
1539850959090,36.65,27.23,9.42,9.31
1539850959278,36.63,27.23,9.40,9.31
1539850959481,36.63,27.25,9.38,9.31
1539850959684,36.63,27.25,9.38,9.31
1539850959887,36.61,27.25,9.36,9.31
1539850960075,36.63,27.21,9.42,9.31
1539850960278,36.63,27.17,9.46,9.32
1539850960481,36.63,27.17,9.46,9.31
1539850960684,36.63,27.21,9.42,9.32
1539850960872,36.63,27.17,9.46,9.32
1539850961075,36.57,27.23,9.34,9.32
1539850961278,36.65,27.23,9.42,9.33
1539850961481,36.65,27.25,9.40,9.33
1539850961684,36.65,27.21,9.44,9.34
1539850961872,36.63,27.21,9.42,9.34
1539850962075,36.63,27.25,9.38,9.34
1539850962278,36.61,27.21,9.40,9.35
1539850962481,36.63,27.21,9.42,9.34
1539850962669,36.61,27.23,9.38,9.35
1539850962872,36.61,27.17,9.44,9.35
1539850963075,36.63,27.17,9.46,9.35
1539850963278,36.63,27.17,9.46,9.36
1539850963481,36.65,27.17,9.48,9.35
1539850963669,36.61,27.15,9.46,9.36
1539850963888,36.61,27.15,9.46,9.36
1539850964075,36.69,27.25,9.44,9.36
1539850964278,36.63,27.23,9.40,9.37
1539850964482,36.65,27.21,9.44,9.37
1539850964685,36.65,27.17,9.48,9.38
1539850964856,Interruption
1539850964872,36.63,27.21,9.42,9.37
1539850965075,36.71,27.17,9.54,9.37
1539850965278,36.65,27.17,9.48,9.38
1539850965482,36.61,27.17,9.44,9.38
1539850965653,Reaction,0,0,0,797
1539850965669,36.63,27.21,9.42,9.39
1539850965872,36.65,27.15,9.50,9.39
1539850966075,36.65,27.17,9.48,9.39
1539850966278,36.63,27.17,9.46,9.40
1539850966482,36.63,27.15,9.48,9.39
1539850966669,36.61,27.05,9.56,9.40
1539850966872,36.65,27.11,9.54,9.40
1539850967075,36.65,27.17,9.48,9.40
1539850967278,36.69,27.15,9.54,9.41
1539850967466,36.69,27.15,9.54,9.41
1539850967669,36.69,27.15,9.54,9.42
1539850967872,36.63,27.15,9.48,9.42
1539850968075,36.65,27.11,9.54,9.42
1539850968278,36.69,27.15,9.54,9.43
1539850968466,36.65,27.15,9.50,9.42
1539850968669,36.65,27.11,9.54,9.43
1539850968872,36.71,27.15,9.56,9.43
1539850969075,36.65,27.15,9.50,9.43
1539850969263,36.69,27.21,9.48,9.44
1539850969482,36.65,27.15,9.50,9.44
1539850969669,36.65,27.17,9.48,9.45
1539850969872,36.69,27.11,9.58,9.45
1539850970075,36.71,27.17,9.54,9.45
1539850970278,36.71,27.11,9.60,9.46
1539850970482,36.71,27.15,9.56,9.45
1539850970669,36.65,27.17,9.48,9.47
1539850970872,36.69,27.09,9.60,9.47
1539850971075,36.77,27.09,9.68,9.47
1539850971279,36.69,27.11,9.58,9.48
1539850971466,36.77,27.15,9.62,9.47
1539850971669,36.71,27.11,9.60,9.48
1539850971872,36.77,27.17,9.60,9.48
1539850972075,36.85,27.15,9.70,9.48
1539850972263,36.77,27.11,9.66,9.50
1539850972466,36.77,27.15,9.62,9.49
1539850972669,36.73,27.21,9.52,9.50
1539850972872,36.77,27.15,9.62,9.50
1539850972982,0,0,0,0
1539850973013,Interruption
1539850973076,36.81,27.17,9.64,9.50
1539850973263,36.77,27.25,9.52,9.52
1539850973466,36.73,27.15,9.58,9.51
1539850973670,36.73,27.09,9.64,9.52
1539850973873,36.77,27.11,9.66,9.52
1539850974060,36.71,27.15,9.56,9.52
1539850974279,36.81,27.09,9.72,9.53
