1539819581549,35.51,32.99,2.52,2.38
1539819581752,35.45,32.95,2.50,2.39
1539819581955,35.53,32.91,2.62,2.39
1539819582158,35.51,32.95,2.56,2.39
1539819582361,35.43,32.99,2.44,2.39
1539819582549,35.43,32.99,2.44,2.40
1539819582752,35.47,32.99,2.48,2.40
1539819582955,35.47,32.99,2.48,2.40
1539819583158,35.47,32.99,2.48,2.40
1539819583361,35.47,33.03,2.44,2.41
1539819583549,35.47,32.99,2.48,2.41
1539819583752,35.45,32.95,2.50,2.41
1539819583955,35.47,32.97,2.50,2.42
1539819584158,35.47,32.97,2.50,2.42
1539819584361,35.45,32.95,2.50,2.42
1539819584549,35.45,32.95,2.50,2.42
1539819584752,35.47,32.95,2.52,2.42
1539819584955,35.47,32.91,2.56,2.43
1539819585158,35.47,32.91,2.56,2.43
1539819585346,35.47,32.95,2.52,2.43
1539819585549,35.51,32.95,2.56,2.44
1539819585752,35.45,32.91,2.54,2.44
1539819585955,35.45,32.95,2.50,2.44
1539819586158,35.51,32.91,2.60,2.44
1539819586361,Interruption
1539819586346,35.47,32.91,2.56,2.45
1539819586549,35.39,32.91,2.48,2.45
1539819586705,Reaction,0,0,0,344
1539819586752,35.45,32.97,2.48,2.45
1539819586955,35.51,32.95,2.56,2.46
1539819587158,35.45,32.97,2.48,2.46
1539819587346,35.47,32.91,2.56,2.46
1539819587549,35.47,32.95,2.52,2.46
1539819587752,35.51,32.91,2.60,2.46
1539819587955,35.53,32.91,2.62,2.47
1539819588143,35.47,32.89,2.58,2.47
1539819588346,35.45,32.89,2.56,2.47
1539819588549,35.47,32.91,2.56,2.47
1539819588752,35.45,32.83,2.62,2.48
1539819588955,35.47,32.89,2.58,2.48
1539819589143,35.47,32.89,2.58,2.48
1539819589346,35.53,32.95,2.58,2.49
1539819589549,35.47,32.95,2.52,2.49
1539819589752,35.59,32.95,2.64,2.49
1539819589955,35.51,32.95,2.56,2.50
1539819590143,35.51,32.95,2.56,2.50
1539819590346,35.55,32.97,2.58,2.50
1539819590549,35.53,32.97,2.56,2.50
1539819590752,35.51,32.95,2.56,2.51
1539819590955,35.51,32.95,2.56,2.51
1539819591143,35.47,32.95,2.52,2.51
1539819591346,35.55,32.99,2.56,2.51
1539819591549,35.47,32.97,2.50,2.52
1539819591752,35.47,32.97,2.50,2.52
1539819591939,35.51,32.99,2.52,2.52
1539819592143,35.51,32.97,2.54,2.52
1539819592346,35.47,32.97,2.50,2.52
1539819592549,35.51,32.97,2.54,2.52
1539819592752,35.51,32.85,2.66,2.52
1539819592940,35.51,32.55,2.96,2.52
1539819593143,35.47,32.21,3.26,2.52
1539819593346,35.47,31.83,3.64,2.53
1539819593549,35.37,31.49,3.88,2.54
1539819593752,35.37,31.29,4.08,2.55
1539819593955,35.39,31.21,4.18,2.57
1539819594143,35.35,31.21,4.14,2.59
1539819594346,35.39,31.39,4.00,2.61
1539819594549,35.37,31.75,3.62,2.64
1539819594752,35.43,31.99,3.44,2.67
1539819594940,35.45,32.31,3.14,2.70
1539819595143,35.39,32.49,2.90,2.72
1539819595346,35.47,32.63,2.84,2.75
1539819595549,35.55,32.71,2.84,2.77
1539819595737,35.55,32.77,2.78,2.79
1539819595940,35.59,32.89,2.70,2.81
1539819596143,35.61,32.95,2.66,2.82
1539819596346,35.59,32.95,2.64,2.84
1539819596549,35.63,32.97,2.66,2.85
1539819596752,Interruption
1539819596737,35.61,33.03,2.58,2.85
1539819596940,35.59,32.97,2.62,2.86
1539819597018,Reaction,0,0,0,266
1539819597143,35.61,32.97,2.64,2.86
1539819597346,35.61,32.99,2.62,2.87
1539819597549,35.55,32.95,2.60,2.87
1539819597737,35.55,33.03,2.52,2.87
1539819597940,35.53,32.97,2.56,2.87
1539819598143,35.59,32.99,2.60,2.86
1539819598346,35.55,32.97,2.58,2.86
1539819598549,35.55,32.97,2.58,2.86
1539819598737,35.55,32.95,2.60,2.85
1539819598940,35.61,32.95,2.66,2.85
1539819599143,35.59,32.97,2.62,2.84
1539819599346,35.51,32.91,2.60,2.84
1539819599534,35.55,32.83,2.72,2.83
1539819599737,35.53,32.77,2.76,2.82
1539819599940,35.51,32.83,2.68,2.82
1539819600143,35.53,32.81,2.72,2.81
1539819600346,35.53,32.83,2.70,2.81
1539819600549,35.55,32.89,2.66,2.80
1539819600737,35.51,32.91,2.60,2.80
1539819600940,35.47,32.89,2.58,2.79
1539819601143,35.47,32.89,2.58,2.79
1539819601346,35.51,32.89,2.62,2.78
1539819601534,35.55,32.89,2.66,2.78
1539819601737,35.51,32.91,2.60,2.77
1539819601940,35.51,32.85,2.66,2.77
1539819602143,35.43,32.85,2.58,2.76
1539819602346,35.53,32.91,2.62,2.76
1539819602534,35.43,32.91,2.52,2.75
1539819602737,35.51,32.95,2.56,2.74
1539819602940,35.47,32.89,2.58,2.74
1539819603143,35.47,32.95,2.52,2.73
1539819603331,35.51,32.89,2.62,2.73
1539819603534,35.51,32.89,2.62,2.72
1539819603737,35.47,32.75,2.72,2.72
1539819603940,35.51,32.71,2.80,2.71
1539819604143,35.43,32.75,2.68,2.71
1539819604331,35.51,32.59,2.92,2.71
1539819604549,35.47,32.49,2.98,2.70
1539819604737,35.51,32.59,2.92,2.70
1539819604940,35.47,32.61,2.86,2.70
1539819605143,35.47,32.71,2.76,2.70
1539819605331,35.45,32.77,2.68,2.71
1539819605534,35.47,32.85,2.62,2.71
1539819605737,35.45,32.85,2.60,2.71
1539819605940,35.51,32.91,2.60,2.71
1539819606128,35.51,32.85,2.66,2.71
1539819606331,35.47,32.89,2.58,2.71
1539819606534,35.45,32.85,2.60,2.71
1539819606737,35.51,32.85,2.66,2.71
1539819606940,35.45,32.83,2.62,2.71
1539819607065,Interruption
1539819607143,35.45,32.83,2.62,2.70
1539819607331,35.51,32.81,2.70,2.70
1539819607534,Reaction,0,0,0,469
1539819607534,35.43,32.81,2.62,2.70
1539819607737,35.47,32.77,2.70,2.69
1539819607940,35.51,32.75,2.76,2.70
1539819608128,35.51,32.63,2.88,2.69
1539819608331,35.43,32.63,2.80,2.69
1539819608534,35.53,32.71,2.82,2.69
1539819608737,35.51,32.69,2.82,2.69
1539819608940,35.45,32.67,2.78,2.69
1539819609128,35.51,32.67,2.84,2.69
1539819609331,35.51,32.63,2.88,2.70
1539819609534,35.51,32.71,2.80,2.70
1539819609737,35.51,32.81,2.70,2.70
1539819609925,35.47,32.71,2.76,2.71
1539819610128,35.43,32.77,2.66,2.70
1539819610331,35.43,32.75,2.68,2.71
1539819610534,35.37,32.77,2.60,2.71
1539819610737,35.47,32.67,2.80,2.71
1539819610925,35.47,32.75,2.72,2.71
1539819611128,35.47,32.77,2.70,2.71
1539819611331,35.47,32.75,2.72,2.71
1539819611534,35.45,32.75,2.70,2.71
1539819611737,35.43,32.77,2.66,2.71
1539819611925,35.43,32.75,2.68,2.72
1539819612128,35.43,32.77,2.66,2.71
1539819612331,35.43,32.71,2.72,2.72
1539819612534,35.45,32.77,2.68,2.71
1539819612737,35.43,32.77,2.66,2.71
1539819612925,35.45,32.83,2.62,2.71
1539819613128,35.37,32.85,2.52,2.71
1539819613331,35.43,32.83,2.60,2.71
1539819613534,35.43,32.85,2.58,2.71
1539819613722,35.43,32.91,2.52,2.71
1539819613940,35.37,32.97,2.40,2.71
1539819614128,35.37,32.75,2.62,2.70
1539819614331,35.43,32.53,2.90,2.70
1539819614534,35.37,32.49,2.88,2.69
1539819614737,35.37,32.67,2.70,2.69
1539819614925,35.35,32.77,2.58,2.69
1539819615128,35.43,32.77,2.66,2.69
1539819615331,35.43,32.81,2.62,2.69
1539819615534,35.47,32.81,2.66,2.69
1539819615722,35.45,32.83,2.62,2.69
1539819615925,35.47,32.85,2.62,2.69
1539819616128,35.47,32.91,2.56,2.68
1539819616331,35.47,32.89,2.58,2.68
1539819616534,35.45,32.95,2.50,2.68
1539819616722,35.47,32.89,2.58,2.68
1539819616925,35.43,32.91,2.52,2.68
1539819617128,35.43,32.91,2.52,2.67
1539819617331,35.47,32.89,2.58,2.67
1539819617519,35.43,32.85,2.58,2.67
1539819617581,Interruption
1539819617722,35.37,32.91,2.46,2.66
1539819617925,35.45,32.85,2.60,2.66
1539819618081,Reaction,0,0,0,500
1539819618128,35.47,32.89,2.58,2.65
1539819618331,35.45,32.81,2.64,2.65
1539819618519,35.37,32.75,2.62,2.65
1539819618737,35.43,32.81,2.62,2.65
1539819618925,35.43,32.77,2.66,2.64
1539819619128,35.45,32.75,2.70,2.64
1539819619331,35.45,32.77,2.68,2.64
1539819619519,35.45,32.81,2.64,2.64
1539819619722,35.45,32.53,2.92,2.64
1539819619925,35.47,32.47,3.00,2.64
1539819620128,35.43,32.53,2.90,2.64
1539819620316,35.51,32.61,2.90,2.64
1539819620534,35.45,32.59,2.86,2.64
1539819620722,35.45,32.69,2.76,2.65
1539819620925,35.47,32.69,2.78,2.65
1539819621128,35.45,32.69,2.76,2.65
1539819621331,35.45,32.61,2.84,2.66
1539819621519,35.43,32.53,2.90,2.66
1539819621722,35.45,32.45,3.00,2.67
1539819621925,35.47,32.41,3.06,2.67
1539819622128,35.47,32.41,3.06,2.68
1539819622331,35.45,32.47,2.98,2.69
1539819622519,35.43,32.47,2.96,2.69
1539819622722,35.53,32.55,2.98,2.70
1539819622925,35.51,32.59,2.92,2.71
1539819623128,35.47,32.53,2.94,2.72
1539819623316,35.45,32.53,2.92,2.73
1539819623519,35.51,32.49,3.02,2.74
1539819623722,35.47,32.53,2.94,2.74
1539819623925,35.43,32.55,2.88,2.75
1539819624128,35.39,32.55,2.84,2.76
1539819624316,35.47,32.55,2.92,2.77
1539819624519,35.47,32.59,2.88,2.77
1539819624722,35.43,32.55,2.88,2.78
1539819624925,35.45,32.49,2.96,2.79
1539819625113,35.47,32.55,2.92,2.79
1539819625316,35.37,32.59,2.78,2.80
1539819625519,35.43,32.59,2.84,2.80
