1539748742922,34.15,37.03,-2.88,-2.83
1539748743123,34.21,36.97,-2.76,-2.83
1539748743328,34.15,36.97,-2.82,-2.84
1539748743524,34.15,36.97,-2.82,-2.84
1539748743724,34.23,36.95,-2.72,-2.84
1539748743921,34.29,36.97,-2.68,-2.84
1539748744122,34.25,37.03,-2.78,-2.84
1539748744326,34.21,37.05,-2.84,-2.84
1539748744523,34.13,37.05,-2.92,-2.84
1539748744724,34.17,37.03,-2.86,-2.83
1539748744921,34.13,36.97,-2.84,-2.84
1539748745121,34.07,37.03,-2.96,-2.83
1539748745318,34.13,36.97,-2.84,-2.83
1539748745522,34.15,36.97,-2.82,-2.83
1539748745723,34.17,37.05,-2.88,-2.83
1539748745920,34.21,37.01,-2.80,-2.84
1539748746125,34.25,36.95,-2.70,-2.84
1539748746321,34.25,37.03,-2.78,-2.84
1539748746521,34.33,37.03,-2.70,-2.84
1539748746723,34.29,36.95,-2.66,-2.83
1539748746919,34.29,37.03,-2.74,-2.83
1539748747124,34.29,36.97,-2.68,-2.83
1539748747321,34.33,37.03,-2.70,-2.83
1539748747521,34.23,37.03,-2.80,-2.83
1539748747718,34.17,36.97,-2.80,-2.82
1539748747923,34.07,36.97,-2.90,-2.82
1539748748124,34.09,36.97,-2.88,-2.82
1539748748320,34.13,36.95,-2.82,-2.82
1539748748521,34.15,36.97,-2.82,-2.82
1539748748718,34.17,36.95,-2.78,-2.81
1539748748922,34.15,37.03,-2.88,-2.81
1539748749123,34.13,36.95,-2.82,-2.81
1539748749319,34.17,36.95,-2.78,-2.81
1539748749520,34.21,36.97,-2.76,-2.81
1539748749716,34.25,37.05,-2.80,-2.81
1539748749921,34.39,37.09,-2.70,-2.81
1539748750122,34.43,37.03,-2.60,-2.81
1539748750318,34.37,36.97,-2.60,-2.81
1539748750519,34.43,37.03,-2.60,-2.80
1539748750716,34.39,37.03,-2.64,-2.80
1539748750920,34.33,37.01,-2.68,-2.80
1539748751117,34.23,36.93,-2.70,-2.79
1539748751318,34.15,36.95,-2.80,-2.79
1539748751523,34.23,36.93,-2.70,-2.78
1539748751720,34.25,36.89,-2.64,-2.78
1539748751920,34.23,36.89,-2.66,-2.78
1539748752117,34.17,36.89,-2.72,-2.77
1539748752318,34.21,36.89,-2.68,-2.77
1539748752523,34.29,36.89,-2.60,-2.77
1539748752719,34.31,36.89,-2.58,-2.76
1539748752919,34.37,36.89,-2.52,-2.76
1539748753116,34.43,36.93,-2.50,-2.76
1539748753321,34.43,36.95,-2.52,-2.75
1539748753517,34.29,36.95,-2.66,-2.75
1539748753719,34.21,36.93,-2.72,-2.74
1539748753919,34.15,36.87,-2.72,-2.74
1539748754115,34.09,36.89,-2.80,-2.73
1539748754320,34.15,36.85,-2.70,-2.73
1539748754520,34.15,36.85,-2.70,-2.73
1539748754718,34.17,36.87,-2.70,-2.73
1539748754918,34.13,36.85,-2.72,-2.73
1539748755115,34.13,36.85,-2.72,-2.72
1539748755320,34.13,36.85,-2.72,-2.72
1539748755516,34.17,36.85,-2.68,-2.72
1539748755717,34.25,36.89,-2.64,-2.72
1539748755914,34.29,36.89,-2.60,-2.72
1539748756118,34.25,36.87,-2.62,-2.71
1539748756319,34.33,36.85,-2.52,-2.71
1539748756515,34.33,36.93,-2.60,-2.71
1539748756717,34.45,36.93,-2.48,-2.71
1539748756913,34.47,36.85,-2.38,-2.70
1539748757117,34.51,36.93,-2.42,-2.70
1539748757319,34.43,36.89,-2.46,-2.69
1539748757515,34.43,36.89,-2.46,-2.69
1539748757720,34.37,36.81,-2.44,-2.68
1539748757917,34.21,36.87,-2.66,-2.68
1539748758117,34.23,36.87,-2.64,-2.67
1539748758314,34.15,36.81,-2.66,-2.67
1539748758518,34.21,36.81,-2.60,-2.66
1539748758720,34.25,36.77,-2.52,-2.66
1539748758916,34.17,36.79,-2.62,-2.66
1539748759117,34.15,36.79,-2.64,-2.65
1539748759313,34.07,36.79,-2.72,-2.65
1539748759518,33.95,36.81,-2.86,-2.64
1539748759714,34.13,36.81,-2.68,-2.64
1539748759915,34.13,36.81,-2.68,-2.64
1539748760116,34.21,36.73,-2.52,-2.64
1539748760313,34.21,36.73,-2.52,-2.64
1539748760517,34.25,36.79,-2.54,-2.64
1539748760714,34.33,36.77,-2.44,-2.63
1539748760915,34.43,36.81,-2.38,-2.63
1539748761112,34.43,36.81,-2.38,-2.63
1539748761316,34.43,36.81,-2.38,-2.63
1539748761517,34.45,36.85,-2.40,-2.62
1539748761713,34.31,36.77,-2.46,-2.62
1539748761918,34.29,36.81,-2.52,-2.61
1539748762115,34.25,36.69,-2.44,-2.61
1539748762316,34.21,36.71,-2.50,-2.60
1539748762512,34.09,36.65,-2.56,-2.60
1539748762713,34.07,36.69,-2.62,-2.59
1539748762918,34.01,36.61,-2.60,-2.59
1539748763114,33.99,36.69,-2.70,-2.59
1539748763314,33.99,36.69,-2.70,-2.59
1539748763512,34.01,36.71,-2.70,-2.59
1539748763716,34.13,36.63,-2.50,-2.58
1539748763912,34.15,36.65,-2.50,-2.58
1539748764113,34.09,36.71,-2.62,-2.58
1539748764314,34.01,36.63,-2.62,-2.58
1539748764511,34.01,36.63,-2.62,-2.58
1539748764716,34.09,36.65,-2.56,-2.58
1539748764912,34.15,36.77,-2.62,-2.58
1539748765113,34.21,36.77,-2.56,-2.58
1539748765310,34.13,36.79,-2.66,-2.58
1539748765515,34.15,36.73,-2.58,-2.58
1539748765715,34.15,36.79,-2.64,-2.58
1539748765911,34.13,36.73,-2.60,-2.58
1539748766113,34.09,36.71,-2.62,-2.58
1539748766309,34.15,36.77,-2.62,-2.58
1539748766514,34.15,36.71,-2.56,-2.58
1539748766710,34.07,36.71,-2.64,-2.58
1539748766911,34.07,36.73,-2.66,-2.58
1539748767116,34.07,36.71,-2.64,-2.58
1539748767313,34.03,36.73,-2.70,-2.58
1539748767512,33.95,36.77,-2.82,-2.58
1539748767710,33.91,36.71,-2.80,-2.58
1539748767910,33.91,36.69,-2.78,-2.59
1539748768115,33.91,36.65,-2.74,-2.59
1539748768312,33.95,36.69,-2.74,-2.59
1539748768512,33.87,36.69,-2.82,-2.60
1539748768708,33.87,36.63,-2.76,-2.60
1539748768914,33.91,36.77,-2.86,-2.60
1539748769111,33.87,36.71,-2.84,-2.61
1539748769311,33.87,36.73,-2.86,-2.61
1539748769511,33.91,36.79,-2.88,-2.62
1539748769708,33.91,36.79,-2.88,-2.62
1539748769914,33.87,36.85,-2.98,-2.63
1539748770110,33.91,36.77,-2.86,-2.63
1539748770311,33.87,36.85,-2.98,-2.64
1539748770507,33.95,36.79,-2.84,-2.65
1539748770712,34.03,36.85,-2.82,-2.65
1539748770913,34.03,36.81,-2.78,-2.66
1539748771109,34.09,36.79,-2.70,-2.67
1539748771310,34.15,36.77,-2.62,-2.67
1539748771507,34.13,36.77,-2.64,-2.68
1539748771711,34.13,36.77,-2.64,-2.68
1539748771912,34.07,36.69,-2.62,-2.69
1539748772109,34.01,36.81,-2.80,-2.69
1539748772309,33.93,36.71,-2.78,-2.69
1539748772510,33.99,36.69,-2.70,-2.69
1539748772711,33.99,36.73,-2.74,-2.70
