1539816931998,34.87.01,-2.16,-0.64
1539817047876,34.71,38.19,-3.48,-2.40
1539817048079,34.69,38.19,-3.50,-2.43
1539817048282,34.71,38.19,-3.48,-2.45
1539817048470,34.71,38.19,-3.48,-2.48
1539817048673,34.69,38.11,-3.42,-2.51
1539817048876,34.69,38.11,-3.42,-2.53
1539817049079,34.67,38.05,-3.38,-2.56
1539817049267,34.71,38.03,-3.32,-2.59
1539817049470,34.75,38.03,-3.28,-2.62
1539817049673,34.71,38.05,-3.34,-2.65
1539817049876,34.69,38.03,-3.34,-2.67
1539817050064,34.71,38.01,-3.30,-2.70
1539817050267,34.69,38.03,-3.34,-2.73
1539817050470,34.67,38.03,-3.36,-2.75
1539817050673,34.67,38.01,-3.34,-2.77
1539817050876,34.67,38.01,-3.34,-2.80
1539817051064,34.69,38.01,-3.32,-2.82
1539817051267,34.71,37.99,-3.28,-2.84
1539817051470,34.69,37.99,-3.30,-2.86
1539817051673,34.69,37.91,-3.22,-2.88
1539817051876,34.71,37.91,-3.20,-2.90
1539817052079,34.71,37.93,-3.22,-2.92
1539817052267,34.75,37.87,-3.12,-2.94
1539817052470,34.71,37.91,-3.20,-2.95
1539817052673,34.71,37.87,-3.16,-2.97
1539817052876,34.69,37.93,-3.24,-2.98
1539817053079,34.67,37.91,-3.24,-3.00
1539817053267,34.61,37.85,-3.24,-3.01
1539817053470,34.69,37.87,-3.18,-3.02
1539817053673,34.67,37.85,-3.18,-3.03
1539817053861,34.67,37.85,-3.18,-3.04
1539817054079,34.63,37.87,-3.24,-3.05
1539817054267,34.63,37.91,-3.28,-3.06
1539817054470,34.61,37.85,-3.24,-3.07
1539817054673,34.71,37.87,-3.16,-3.08
1539817054861,34.67,37.79,-3.12,-3.09
1539817055079,34.71,37.77,-3.06,-3.09
1539817055267,34.71,37.77,-3.06,-3.10
1539817055470,34.71,37.79,-3.08,-3.10
1539817055673,34.69,37.79,-3.10,-3.11
1539817055861,34.67,37.79,-3.12,-3.11
1539817056064,34.63,37.79,-3.16,-3.12
1539817056267,34.69,37.83,-3.14,-3.12
1539817056470,34.63,37.85,-3.22,-3.12
1539817056673,34.67,37.85,-3.18,-3.13
1539817056876,34.63,37.83,-3.20,-3.13
1539817057064,34.69,37.79,-3.10,-3.13
1539817057267,34.67,37.83,-3.16,-3.13
1539817057470,34.67,37.79,-3.12,-3.13
1539817057673,34.71,37.83,-3.12,-3.14
1539817057877,34.69,37.77,-3.08,-3.14
1539817058064,34.67,37.83,-3.16,-3.14
1539817058267,34.69,37.75,-3.06,-3.14
1539817058470,34.69,37.77,-3.08,-3.14
1539817058673,34.71,37.79,-3.08,-3.14
1539817058861,34.69,37.79,-3.10,-3.14
1539817059064,34.75,37.85,-3.10,-3.14
1539817059267,34.69,37.87,-3.18,-3.14
1539817059470,34.67,37.85,-3.18,-3.14
1539817059673,34.69,37.85,-3.16,-3.14
1539817059861,34.69,37.83,-3.14,-3.14
1539817060064,34.69,37.85,-3.16,-3.14
1539817060267,34.71,37.83,-3.12,-3.14
1539817060470,34.69,37.85,-3.16,-3.14
1539817060673,34.71,37.83,-3.12,-3.14
1539817060861,34.71,37.77,-3.06,-3.14
1539817061064,34.71,37.83,-3.12,-3.14
1539817061268,34.71,37.83,-3.12,-3.14
1539817061471,34.71,37.83,-3.12,-3.14
1539817061674,34.63,37.87,-3.24,-3.14
1539817061862,34.69,37.87,-3.18,-3.14
1539817062065,34.71,37.83,-3.12,-3.14
1539817062268,34.77,37.85,-3.08,-3.14
1539817062471,34.69,37.87,-3.18,-3.14
1539817062658,34.69,37.79,-3.10,-3.14
1539817062862,34.61,37.83,-3.22,-3.14
1539817063065,34.63,37.79,-3.16,-3.14
1539817063268,34.63,37.83,-3.20,-3.15
1539817063471,34.61,37.79,-3.18,-3.14
1539817063658,34.69,37.85,-3.16,-3.15
1539817063862,34.63,37.79,-3.16,-3.15
1539817064065,34.69,37.85,-3.16,-3.15
1539817064268,34.63,37.79,-3.16,-3.15
1539817064471,34.67,37.77,-3.10,-3.15
1539817064659,34.69,37.79,-3.10,-3.15
1539817064862,34.63,37.83,-3.20,-3.15
1539817065065,34.63,37.85,-3.22,-3.15
1539817065268,34.69,37.83,-3.14,-3.15
1539817065455,34.69,37.79,-3.10,-3.15
1539817065659,34.69,37.77,-3.08,-3.15
1539817065862,34.71,37.83,-3.12,-3.15
1539817066065,34.71,37.79,-3.08,-3.15
1539817066268,34.71,37.83,-3.12,-3.15
1539817066471,34.69,37.83,-3.14,-3.15
1539817066659,34.69,37.79,-3.10,-3.15
1539817066862,34.71,37.85,-3.14,-3.15
1539817067065,34.69,37.87,-3.18,-3.15
1539817067268,34.71,37.91,-3.20,-3.15
1539817067471,34.71,37.91,-3.20,-3.15
1539817067659,34.69,37.87,-3.18,-3.15
1539817067862,34.69,37.87,-3.18,-3.15
1539817068065,34.69,37.91,-3.22,-3.15
1539817068268,34.71,37.83,-3.12,-3.15
1539817068471,34.71,37.87,-3.16,-3.15
1539817068659,34.69,37.83,-3.14,-3.15
1539817068862,34.69,37.79,-3.10,-3.15
1539817069065,34.71,37.75,-3.04,-3.15
1539817069253,34.69,37.75,-3.06,-3.15
1539817069472,34.69,37.69,-3.00,-3.14
1539817069659,34.71,37.75,-3.04,-3.15
1539817069862,34.71,37.75,-3.04,-3.14
1539817070065,34.69,37.79,-3.10,-3.14
1539817070253,34.71,37.79,-3.08,-3.14
1539817070472,34.75,37.83,-3.08,-3.14
1539817070659,34.71,37.87,-3.16,-3.14
1539817070862,34.71,37.83,-3.12,-3.14
1539817071065,34.71,37.87,-3.16,-3.14
1539817071253,34.67,37.85,-3.18,-3.14
1539817071456,34.69,37.79,-3.10,-3.13
1539817071659,34.63,37.85,-3.22,-3.13
1539817071863,34.69,37.83,-3.14,-3.13
1539817072066,34.71,37.79,-3.08,-3.13
1539817072253,34.71,37.83,-3.12,-3.13
1539817072456,34.71,37.79,-3.08,-3.13
1539817072659,34.71,37.83,-3.12,-3.13
1539817072862,34.69,37.77,-3.08,-3.13
1539817073066,34.69,37.79,-3.10,-3.13
1539817073253,34.71,37.85,-3.14,-3.13
1539817073456,34.71,37.79,-3.08,-3.13
1539817073659,34.71,37.85,-3.14,-3.13
1539817073863,34.71,37.87,-3.16,-3.13
1539817074066,34.69,37.83,-3.14,-3.13
1539817074253,34.69,37.85,-3.16,-3.13
1539817074456,34.71,37.83,-3.12,-3.12
1539817074659,34.75,37.79,-3.04,-3.13
1539817074863,34.75,37.83,-3.08,-3.12
1539817075066,34.71,37.79,-3.08,-3.12
1539817075253,34.71,37.79,-3.08,-3.12
1539817075456,34.69,37.87,-3.18,-3.12
1539817075659,34.67,37.83,-3.16,-3.12
1539817075863,34.63,37.79,-3.16,-3.12
1539817076066,34.59,37.79,-3.20,-3.12
1539817076253,34.59,37.79,-3.20,-3.12
1539817076456,34.61,37.79,-3.18,-3.12
1539817076659,34.59,37.69,-3.10,-3.12
1539817076863,34.55,37.69,-3.14,-3.12
1539817077066,34.55,37.63,-3.08,-3.12
1539817077253,34.59,37.63,-3.04,-3.13
1539817077457,34.55,37.69,-3.14,-3.12
1539817077660,34.55,37.69,-3.14,-3.13
1539817077863,34.53,37.67,-3.14,-3.12
1539817078050,34.59,37.69,-3.10,-3.13
1539817078254,34.55,37.63,-3.08,-3.13
1539817078457,34.61,37.75,-3.14,-3.12
1539817078660,34.59,37.75,-3.16,-3.13
1539817078863,34.63,37.77,-3.14,-3.13
1539817079050,34.61,37.77,-3.16,-3.13
1539817079254,34.69,37.85,-3.16,-3.13
1539817079457,34.53,37.83,-3.30,-3.13
1539817079660,34.61,37.85,-3.24,-3.13
1539817079847,34.63,37.91,-3.28,-3.13
1539817080051,34.63,37.85,-3.22,-3.13
1539817080254,34.61,37.91,-3.30,-3.13
1539817080457,34.69,37.83,-3.14,-3.13
1539817080660,34.69,37.85,-3.16,-3.14
1539817080863,34.71,37.85,-3.14,-3.14
1539817081051,34.69,37.85,-3.16,-3.14
1539817081254,34.67,37.83,-3.16,-3.14
1539817081457,34.71,37.87,-3.16,-3.14
1539817081660,34.75,37.87,-3.12,-3.15
1539817081863,34.69,37.91,-3.22,-3.15
1539817082051,34.67,37.91,-3.24,-3.15
1539817082254,34.67,37.91,-3.24,-3.15
1539817082457,34.63,37.87,-3.24,-3.15
1539817082660,34.69,37.87,-3.18,-3.15
1539817082863,34.67,37.93,-3.26,-3.15
1539817083051,34.69,37.91,-3.22,-3.16
1539817083254,34.69,37.91,-3.22,-3.16
1539817083457,34.69,37.95,-3.26,-3.16
1539817083660,34.69,37.87,-3.18,-3.16
1539817083863,34.69,37.87,-3.18,-3.16
1539817084051,34.71,37.85,-3.14,-3.17
1539817084254,34.69,37.91,-3.22,-3.17
1539817084457,34.71,37.85,-3.14,-3.17
1539817084644,34.77,37.85,-3.08,-3.17
1539817084848,34.75,37.85,-3.10,-3.17
1539817085051,34.71,37.85,-3.14,-3.17
1539817085254,34.71,37.83,-3.12,-3.17
1539817085457,34.67,37.87,-3.20,-3.17
1539817085644,34.67,37.87,-3.20,-3.17
1539817085848,34.67,37.85,-3.18,-3.17
1539817086051,34.71,37.83,-3.12,-3.17
1539817086254,34.67,37.79,-3.12,-3.17
1539817086457,34.69,37.79,-3.10,-3.17
1539817086644,34.67,37.85,-3.18,-3.17
1539817086848,34.69,37.87,-3.18,-3.17
1539817087051,34.71,37.79,-3.08,-3.17
1539817087254,34.71,37.85,-3.14,-3.17
1539817087457,34.69,37.83,-3.14,-3.17
1539817087645,34.71,37.83,-3.12,-3.17
1539817087848,34.69,37.85,-3.16,-3.17
1539817088051,34.71,37.85,-3.14,-3.17
1539817088254,34.71,37.83,-3.12,-3.17
1539817088457,34.69,37.83,-3.14,-3.16
1539817088645,34.61,37.85,-3.24,-3.17
1539817088848,34.69,37.83,-3.14,-3.16
1539817089051,34.67,37.83,-3.16,-3.16
1539817089254,34.71,37.79,-3.08,-3.16
1539817089457,34.69,37.83,-3.14,-3.16
1539817089645,34.71,37.87,-3.16,-3.16
1539817089848,34.71,37.85,-3.14,-3.16
1539817090051,34.67,37.85,-3.18,-3.16
1539817090254,34.69,37.87,-3.18,-3.16
1539817090457,34.71,37.87,-3.16,-3.16
1539817090645,34.67,37.87,-3.20,-3.16
1539817090848,34.69,37.91,-3.22,-3.16
1539817091051,34.67,37.87,-3.20,-3.16
1539817091254,34.69,37.87,-3.18,-3.16
1539817091457,34.69,37.91,-3.22,-3.16
1539817091645,34.67,37.83,-3.16,-3.16
1539817091848,34.71,37.87,-3.16,-3.16
1539817092051,34.67,37.87,-3.20,-3.16
1539817092254,34.67,37.91,-3.24,-3.16
1539817092458,34.69,37.93,-3.24,-3.16
1539817092645,34.67,37.85,-3.18,-3.16
1539817092848,34.63,37.91,-3.28,-3.16
1539817093052,34.71,37.91,-3.20,-3.16
1539817093239,34.63,37.87,-3.24,-3.17
1539817093442,34.71,37.87,-3.16,-3.16
1539817093645,34.69,37.93,-3.24,-3.17
1539817093849,34.69,37.87,-3.18,-3.17
1539817094052,34.71,37.93,-3.22,-3.17
1539817094239,34.71,37.85,-3.14,-3.17
1539817094442,34.69,37.85,-3.16,-3.17
1539817094645,34.67,37.79,-3.12,-3.17
1539817094849,34.71,37.91,-3.20,-3.17
1539817095052,34.69,37.85,-3.16,-3.17
1539817095239,34.75,37.91,-3.16,-3.17
1539817095442,34.67,37.85,-3.18,-3.17
1539817095645,34.69,37.85,-3.16,-3.17
1539817095849,34.67,37.91,-3.24,-3.17
1539817096052,34.75,37.87,-3.12,-3.17
1539817096239,34.71,37.93,-3.22,-3.18
1539817096442,34.69,37.91,-3.22,-3.17
1539817096645,34.63,37.91,-3.28,-3.18
1539817096849,34.71,37.87,-3.16,-3.18
1539817097052,34.71,37.85,-3.14,-3.18
1539817097255,34.67,37.85,-3.18,-3.18
1539817097442,34.69,37.87,-3.18,-3.18
1539817097645,34.75,37.91,-3.16,-3.18
1539817097849,34.75,37.91,-3.16,-3.18
1539817098052,34.71,37.91,-3.20,-3.18
1539817098255,34.69,37.87,-3.18,-3.18
1539817098443,34.77,37.87,-3.10,-3.18
1539817098646,34.77,37.85,-3.08,-3.18
1539817098849,34.71,37.91,-3.20,-3.18
1539817099052,34.71,37.87,-3.16,-3.18
1539817099240,34.67,37.93,-3.26,-3.18
1539817099443,34.67,37.95,-3.28,-3.18
1539817099646,34.63,37.91,-3.28,-3.19
1539817099849,34.69,37.95,-3.26,-3.18
1539817100037,34.67,37.91,-3.24,-3.19
1539817100240,34.63,37.87,-3.24,-3.19
1539817100443,34.63,37.93,-3.30,-3.19
1539817100646,34.67,37.95,-3.28,-3.19
1539817100849,34.67,38.01,-3.34,-3.19
1539817101037,34.69,37.93,-3.24,-3.19
1539817101240,34.67,38.01,-3.34,-3.20
1539817101443,34.69,37.95,-3.26,-3.20
1539817101646,34.71,37.99,-3.28,-3.20
1539817101849,34.61,38.01,-3.40,-3.20
1539817102037,34.67,37.99,-3.32,-3.21
1539817102240,34.71,37.93,-3.22,-3.21
1539817102443,34.75,37.99,-3.24,-3.21
1539817102646,34.71,37.95,-3.24,-3.22
1539817102849,34.71,37.93,-3.22,-3.22
1539817103037,34.61,37.99,-3.38,-3.22
1539817103240,34.67,38.01,-3.34,-3.22
1539817103443,34.69,37.95,-3.26,-3.22
1539817103646,34.67,37.91,-3.24,-3.23
1539817103849,34.67,37.99,-3.32,-3.23
1539817104037,34.63,37.95,-3.32,-3.23
1539817104240,34.63,37.95,-3.32,-3.23
1539817104443,34.63,37.95,-3.32,-3.23
1539817104646,34.69,37.95,-3.26,-3.24
1539817104850,34.69,37.93,-3.24,-3.24
1539817105053,34.69,37.95,-3.26,-3.24
1539817105240,34.69,37.93,-3.24,-3.25
1539817105443,34.69,37.95,-3.26,-3.24
1539817105646,34.71,37.99,-3.28,-3.25
1539817105850,34.69,37.91,-3.22,-3.25
1539817106037,34.75,37.93,-3.18,-3.25
1539817106240,34.71,37.95,-3.24,-3.25
1539817106443,34.67,37.91,-3.24,-3.25
1539817106631,34.69,37.99,-3.30,-3.25
1539817106849,34.67,37.95,-3.28,-3.25
1539817107037,34.67,38.03,-3.36,-3.25
1539817107240,34.63,37.95,-3.32,-3.26
1539817107443,34.63,38.01,-3.38,-3.26
1539817107630,34.69,38.09,-3.40,-3.26
1539817107850,34.71,37.99,-3.28,-3.26
1539817108037,34.69,38.03,-3.34,-3.26
1539817108240,34.75,38.03,-3.28,-3.26
1539817108444,34.75,38.03,-3.28,-3.26
1539817108631,34.71,38.09,-3.38,-3.27
1539817108834,34.75,38.03,-3.28,-3.27
1539817109037,34.71,38.01,-3.30,-3.27
1539817109241,34.75,38.09,-3.34,-3.27
1539817109444,34.71,38.05,-3.34,-3.27
1539817109647,34.69,38.09,-3.40,-3.28
1539817109834,34.67,38.01,-3.34,-3.28
1539817110037,34.67,38.01,-3.34,-3.28
1539817110241,34.67,38.01,-3.34,-3.28
1539817110444,34.71,38.03,-3.32,-3.28
1539817110647,34.71,38.03,-3.32,-3.29
1539817110835,34.69,37.99,-3.30,-3.29
1539817111038,34.75,38.03,-3.28,-3.29
1539817111241,34.71,38.01,-3.30,-3.29
1539817111444,34.81,37.93,-3.12,-3.29
1539817111647,34.81,37.91,-3.10,-3.29
1539817111835,34.81,37.93,-3.12,-3.29
1539817112038,34.81,37.93,-3.12,-3.29
1539817112241,34.71,37.87,-3.16,-3.29
1539817112444,34.75,37.85,-3.10,-3.29
1539817112631,34.75,37.69,-2.94,-3.29
1539817112834,34.75,37.29,-2.54,-3.28
