1539818534380,34.99,36.39,-1.40,-1.48
1539818534567,34.91,36.45,-1.54,-1.48
1539818534770,34.91,36.41,-1.50,-1.48
1539818534974,34.99,36.39,-1.40,-1.48
1539818535177,34.99,36.31,-1.32,-1.47
1539818535364,34.93,36.29,-1.36,-1.47
1539818535567,34.89,36.31,-1.42,-1.47
1539818535771,34.89,36.31,-1.42,-1.47
1539818535974,34.89,36.33,-1.44,-1.47
1539818536177,34.91,36.33,-1.42,-1.46
1539818536364,34.83,36.33,-1.50,-1.46
1539818536567,34.89,36.33,-1.44,-1.46
1539818536771,34.85,36.25,-1.40,-1.46
1539818536974,34.83,36.31,-1.48,-1.46
1539818537161,34.85,36.31,-1.46,-1.46
1539818537380,34.77,36.29,-1.52,-1.46
1539818537568,34.77,36.29,-1.52,-1.46
1539818537771,34.83,36.23,-1.40,-1.45
1539818537974,34.85,36.25,-1.40,-1.46
1539818538161,34.85,36.21,-1.36,-1.45
1539818538364,34.89,36.25,-1.36,-1.45
1539818538568,34.83,36.23,-1.40,-1.45
1539818538771,34.85,36.23,-1.38,-1.45
1539818538958,34.85,36.17,-1.32,-1.45
1539818539177,34.85,36.17,-1.32,-1.45
1539818539364,34.89,36.15,-1.26,-1.44
1539818539568,34.85,36.17,-1.32,-1.44
1539818539771,34.85,36.13,-1.28,-1.44
1539818539974,34.83,36.17,-1.34,-1.44
1539818540177,34.83,36.21,-1.38,-1.43
1539818540365,34.89,36.15,-1.26,-1.43
1539818540568,34.85,36.17,-1.32,-1.43
1539818540771,34.85,36.21,-1.36,-1.43
1539818540974,34.89,36.23,-1.34,-1.42
1539818541162,34.91,36.21,-1.30,-1.42
1539818541365,34.91,36.25,-1.34,-1.42
1539818541568,34.85,36.25,-1.40,-1.41
1539818541771,34.89,36.21,-1.32,-1.41
1539818541974,34.93,36.17,-1.24,-1.41
1539818542162,34.85,36.15,-1.30,-1.40
1539818542365,34.85,36.17,-1.32,-1.40
1539818542568,34.91,36.13,-1.22,-1.40
1539818542771,34.93,35.71,-0.78,-1.39
1539818542959,34.91,35.19,-0.28,-1.39
1539818543162,34.97,34.59,0.38,-1.38
1539818543365,34.85,34.07,0.78,-1.37
1539818543568,34.83,33.57,1.26,-1.35
1539818543756,34.85,33.19,1.66,-1.32
1539818543959,34.81,32.97,1.84,-1.28
1539818544162,34.77,32.85,1.92,-1.24
1539818544365,34.71,32.89,1.82,-1.19
1539818544568,34.75,33.07,1.68,-1.13
1539818544771,34.77,33.19,1.58,-1.07
1539818544959,34.75,33.43,1.32,-1.00
1539818545162,34.81,33.55,1.26,-0.93
1539818545365,34.77,33.73,1.04,-0.86
1539818545568,34.71,34.13,0.58,-0.80
1539818545771,34.81,34.47,0.34,-0.73
1539818545959,34.83,34.81,0.02,-0.67
1539818546162,34.77,35.01,-0.24,-0.61
